walk,l1,l2,x0,x1,x2,x3
73,3312,2080.603759,266,1866,790,-390
74,4416,2364.027073,782,-1738,1230,666
75,2234,1495.798115,-576,-1364,-116,178
76,1730,1062.267386,-270,234,260,-966
77,4030,2223.473859,-748,-1090,-1726,466
78,3832,2867.882843,58,1054,-54,2666
79,2984,1774.152192,-1488,-732,-612,152
80,1014,802.638150,792,-70,-92,60
81,3382,2098.899712,432,598,1916,-436
82,4732,2430.158843,-906,-1480,-906,1440
83,3158,1932.421279,384,510,-1750,-514
84,1962,1370.764750,80,1184,-12,-686
85,1480,888.823942,742,412,254,-72
86,5300,3159.956962,2598,-1630,-490,-582
87,2452,1560.986867,-174,1398,-620,260
88,3730,2027.764286,638,-1568,-968,556
89,2822,1465.653438,-930,640,838,-414
90,5332,2973.157244,2040,1236,-1748,-308
91,1788,1061.715593,282,808,624,74
92,1612,835.459155,284,558,-316,454
93,3806,1960.847776,-602,1220,-1106,-878
94,2398,1439.406822,12,-1088,498,800
95,2922,1571.084975,1022,-1012,-496,392
96,3232,1799.915554,134,1026,-930,-1142
97,4518,2742.902842,1470,446,-358,2244
98,4082,2200.277255,816,-482,-1576,-1208
99,2768,1542.130993,226,508,1032,-1002
100,2224,1527.636082,14,-66,-948,1196
101,2190,1424.332826,88,164,-1210,-728
102,2080,1260.948849,930,760,-384,6
103,1818,1318.734242,272,120,-1276,-150
104,3920,2130.291999,1128,-700,504,1588
105,2772,1829.410834,-520,-506,-1678,68
106,1296,740.864360,494,-458,-38,-306
107,2366,1386.383785,496,-558,-1158,-154
108,4348,2228.529560,-1504,-886,-1014,944
109,2630,1602.838732,424,224,558,-1424
110,5406,3021.535371,-1250,1144,2434,578
111,3798,2018.239827,818,-1472,978,-530
112,5078,2991.737288,2506,-596,562,-1414
113,5180,2888.727055,1314,2256,464,-1146
114,1630,883.001699,482,-646,296,-206
115,4218,2317.609976,360,-1488,1516,854
116,1870,1180.730282,-58,-470,1038,304
117,4100,2131.750454,-586,1138,984,1392
118,1346,881.986394,482,110,24,730
119,1264,862.187915,212,-148,-86,-818
120,4044,2295.168839,-836,1574,202,1432
121,2710,1557.630251,-96,-726,-712,1176
122,2206,1444.452838,-566,350,1282,8
123,3918,2309.769685,-970,1298,-4,1646
124,2696,1512.917711,356,1214,-728,-398
125,3466,2408.626995,-2302,-208,-446,510
126,3250,1916.504109,772,1630,598,-250
127,2694,1651.637975,-1464,566,480,-184
128,3748,2148.983015,-292,-1752,-776,-928
129,2636,1568.237227,-674,-96,1290,576
130,4850,2673.130749,-398,-1982,-1170,-1300
131,1056,717.172225,-80,644,304,-28
132,1868,1173.347348,288,-960,610,-10
133,2698,1921.252716,118,-480,-1838,262
134,1834,1058.162558,-210,202,820,-602
135,4214,2220.024324,-1362,-1078,-1298,-476
136,3776,2153.256139,96,1276,-1436,968
137,2008,1812.452482,-194,-1802,0,-12
138,952,616.603600,304,30,528,90
139,2850,1642.713609,442,192,1034,1182
140,6336,3576.153241,2596,1124,482,-2134
141,2644,1527.924082,56,-988,994,-606
142,4896,2790.751870,1160,-1144,354,-2238
143,2234,1393.348485,1194,446,-32,562
144,3050,1876.617169,262,1036,226,1526
145,4878,3150.911614,1570,2684,-492,132
146,3760,2119.769799,-1646,942,262,910
147,1606,929.315877,768,-322,-394,122
148,1772,1001.754461,-384,-674,628,86
149,3000,1742.634787,234,-784,-542,-1440
150,3276,1721.752595,-776,948,1136,416
151,1488,1179.725392,2,248,1150,-88
152,3798,1942.442792,954,-622,1050,-1172
153,3018,1611.797754,1164,760,-364,-730
154,1730,1047.215355,-164,-932,-308,326
155,2240,1313.958903,-692,-1062,-272,-214
156,1116,638.435588,-26,-426,-382,282
157,1614,905.924942,558,650,-250,-156
158,846,443.914406,110,280,192,264
159,6182,3254.255675,1964,2078,1320,-820
160,2376,1446.504753,-162,848,-1138,228
161,2894,1649.781804,-842,1144,836,72
162,1848,1013.465342,324,194,-660,670
163,1704,1030.894757,178,-210,-904,412
164,2158,1131.902823,784,304,-506,564
165,3046,1670.852477,-416,-1094,1116,-420
166,2398,1314.386549,884,-186,542,786
167,4214,2867.306053,-52,1904,-2140,118
168,2524,1425.131573,-984,658,788,-94
169,2196,1367.587657,1198,-108,562,328
170,2600,1806.096343,76,-32,972,1520
171,4570,2417.419285,1630,1418,-666,856
172,4138,2250.481726,-1532,-498,-1406,702
173,2686,1529.613023,822,-48,-988,-828
174,3750,2234.223803,1016,-990,-18,1726
175,2864,1659.836136,806,1022,6,1030
176,2580,1529.261260,-144,-1052,1048,-336
177,2084,1196.641968,-506,274,1006,-298
178,3366,2226.398886,196,256,2008,-906
179,2712,1600.377455,614,1380,464,-254
180,1860,1157.953367,-890,-264,-692,14
181,2464,1340.325334,1024,-436,666,-338
182,2670,1616.592713,-266,-276,-746,1382
183,5294,2937.117635,-1144,-2212,1492,446
184,2246,1329.347208,-498,1146,-190,-412
185,4432,2569.393703,-1820,1278,1286,-48
186,4404,2629.471430,2184,1318,-438,464
187,2680,1925.830730,62,1836,-510,-272
188,2812,1561.442922,-960,-1002,700,-150
189,4454,2827.391024,-670,-2596,370,-818
190,2308,1509.442281,-190,18,-1186,914
191,3560,1894.077084,660,-882,598,1420
192,3710,1968.277419,-604,-624,-1382,1100
193,4450,2650.857220,-1824,1736,64,826
194,1686,1263.571130,92,1232,230,-132
195,2538,1472.816350,-1064,-618,48,808
196,2852,2042.279119,224,-1966,-196,466
197,1890,1133.925924,698,-350,-822,20
198,2670,1572.400712,1212,486,-870,-102
199,3468,2180.104585,518,-346,604,-2000
200,1578,938.136451,210,92,720,556
201,1346,763.824587,554,-96,460,-236
202,2498,1502.865263,-182,-1050,-1034,232
203,3544,2136.211600,1202,712,1616,14
204,3886,2335.161665,-1688,-348,304,1546
205,4638,2542.248611,-1992,1178,-612,856
206,2460,1312.076217,-912,530,722,296
207,4066,2716.679591,406,2574,-530,-556
208,2790,1696.361990,246,1410,872,-262
209,4510,2635.355763,-1150,1600,-1750,-10
210,1798,945.610914,-344,-364,702,-388
211,2992,1782.984016,350,-1528,-782,-332
212,5494,2800.254988,-1602,-960,1632,-1300
213,3208,1665.112609,1024,922,-828,434
214,3516,2010.470592,540,-1132,-1542,-302
215,3912,2001.313569,-1060,1106,1132,614
216,2964,1940.843116,1818,256,-436,454
217,1958,1631.618828,96,198,1616,-48
218,3742,1969.693377,-530,-1386,-840,986
219,3512,1998.627529,1182,1462,638,-230
220,4640,2830.065724,2344,-1474,458,364
221,3868,2201.241468,-1530,-1272,932,-134
222,3904,2278.222114,-1088,902,-132,1782
223,4158,2102.458561,1176,-1214,-902,-866
224,2614,1407.521225,972,278,562,802
225,3302,1993.159301,938,-238,440,1686
226,2446,1430.360794,-866,224,274,1082
227,3788,2381.161061,-1328,-32,-1906,-522
228,6448,3235.598245,-1508,1754,1446,1740
229,1974,1239.517648,-72,178,-780,-944
230,2224,1302.683384,418,-850,64,-892
231,3126,1662.678562,876,452,-602,-1196
232,938,489.869370,132,-220,328,258
233,3494,2009.042558,-46,934,-1228,-1286
234,3934,2295.476421,602,-364,-1914,-1054
235,2390,1538.275658,296,-322,1436,-336
236,2872,1550.881040,562,690,1198,422
237,4344,2298.239326,-1122,-654,-898,1670
238,3578,1944.017490,-1140,730,1348,-360
239,2330,1510.802436,190,-26,982,-1132
240,3710,2568.192360,1566,2034,-60,-50
241,2852,1518.833763,-814,372,-1076,590
242,3546,2066.001936,10,-1222,-1378,936
243,3794,2273.078089,-1824,400,1258,-312
244,2022,1242.032206,666,-1008,-280,68
245,5152,3279.223079,188,-2810,576,-1578
246,4446,2702.784490,610,1536,-2132,-168
247,4124,2761.079499,-42,-2104,-1776,202
248,4518,2399.339076,878,1242,1732,666
249,2934,1610.553942,-458,1034,1092,-350
250,3746,1942.168891,-1260,844,1070,-572
251,1662,959.831235,790,-342,124,-406
252,4762,2441.819813,1556,-1070,-828,-1308
253,2326,1336.854517,-198,-1094,-426,608
254,2134,1238.833322,1034,-176,-524,-400
255,2250,1415.908189,1114,-302,-14,820
256,4134,2371.408864,282,-1636,-654,-1562
257,5060,3290.581711,-2152,218,2470,220
258,3312,1857.923572,-402,1142,424,-1344
259,1460,1040.672859,26,-532,894,-8
260,2294,1525.538593,76,-704,-1340,174
261,1686,941.902330,-282,166,-702,-536
262,3552,2317.400268,-190,2138,696,-528
263,2534,1916.280773,70,-1868,308,288
264,1152,781.378269,368,682,-100,2
265,2742,1509.573450,-1020,-766,166,790
266,3722,1862.045112,-928,-934,886,974
267,2542,1397.974249,-698,1086,-364,-394
268,3818,2173.079842,-376,720,-1784,938
269,3110,1974.413331,1712,-124,-902,372
270,5104,2691.520017,-1390,1536,1628,550
271,2734,1525.035082,-124,-896,996,718
272,4274,2237.883822,708,1234,-1530,-802
273,3766,2193.132007,1316,616,-1630,204
274,3828,2078.811199,-1018,-1574,-470,766
275,3846,2504.095046,-578,2186,1076,-6
276,4520,2568.429871,-456,-812,-1156,2096
277,3628,2550.339585,358,-110,752,-2408
278,2402,1215.030864,470,694,-558,-680
279,4674,2516.857565,-446,-1338,-1736,-1154
280,2728,1903.224632,-742,-1744,100,142
281,2846,1984.345736,358,-1908,310,-270
282,3502,2462.498731,-1202,-46,-108,-2146
283,2230,1528.189779,-1424,24,-416,366
284,3310,1860.691269,690,354,1516,-750
285,4406,2423.948019,-1430,-1028,-1636,312
286,2466,1322.127074,614,232,-760,860
287,2622,1466.469229,-240,-726,1140,516
288,1338,756.177228,92,-334,590,322
289,3118,1753.742284,-534,284,-970,-1330
290,3482,2202.848156,1860,-378,-134,-1110
291,2866,1621.573310,730,-1262,-684,-190
292,4110,2386.122377,-24,-1122,-1626,1338
293,1550,864.853745,-110,344,640,456
294,2078,1152.852115,856,-630,406,-186
295,4228,2185.029062,-890,1190,714,1434
296,5056,2953.767763,1426,-1388,-2182,60
297,4622,2901.856647,372,1528,-302,-2420
298,3754,2252.606490,-558,2002,452,-742
299,2942,1807.824106,-124,308,1192,-1318
300,5952,3161.400955,-1016,-1132,1430,-2374
301,5054,2976.276197,-1358,1450,2216,-30
302,2612,1527.232792,764,-360,238,1250
303,1224,700.885155,228,98,-334,-564
304,2958,1955.242184,-1706,362,6,884
305,2758,1634.017136,1402,-698,310,348
306,2832,1801.001943,-64,1050,284,1434
307,5310,3121.069688,-1384,-34,1592,-2300
308,1512,837.004182,644,196,232,-440
309,3828,2335.530775,-366,-1614,-214,1634
310,4640,2408.659378,856,-1598,842,-1344
311,2618,1628.416409,998,-22,-364,-1234
312,1324,887.716171,-818,-208,-274,24
313,3534,2253.082333,158,754,-588,-2034
314,1910,1264.963241,-846,936,-72,-56
315,3818,2563.596692,26,-1142,388,-2262
316,1776,1055.632512,16,526,-812,-422
317,2488,1445.315191,1096,728,-594,-70
318,4072,2764.270609,2582,768,112,610
319,1866,1036.202683,758,-160,-584,364
320,3044,1991.001758,-268,-6,-1218,-1552
321,7200,4151.176219,1286,1644,3506,-764
322,3938,2302.917280,-642,-192,-1416,1688
323,1694,1114.653309,-1026,-388,144,136
324,4126,2430.972645,398,-1734,-382,1612
325,3230,1901.356358,-716,1576,-170,-768
326,1896,1103.140970,922,472,-346,156
327,3224,2194.332700,-1660,-120,-1430,-14
328,3836,2267.760128,-1930,-974,-334,-598
329,1132,640.243704,-360,-462,-58,252
330,3256,1933.709389,264,524,816,-1652
331,1714,1555.358480,24,82,-56,1552
332,3938,1979.388795,916,982,1150,-890
333,2910,1511.887562,630,-616,-1082,582
334,3598,2089.040928,-38,-902,1420,-1238
335,1850,1105.989150,966,-434,210,240
336,1030,670.716035,-112,556,-4,-358
337,2178,1502.236999,-1398,480,-266,-34
338,2582,1592.232395,398,-580,1416,-188
339,2692,1958.421814,-358,1898,-148,288
340,3076,1962.490255,-438,1824,382,432
341,2064,1419.625303,-396,-1342,-210,-116
342,4438,2463.604676,-446,1900,-856,-1236
343,6288,3500.643369,984,-2272,2390,-642
344,5276,2908.650546,-1474,2190,-496,-1116
345,4682,2934.274016,-774,2456,46,-1406
346,2360,1601.042161,148,-1516,-326,370
347,3760,2234.681185,-1766,-1252,-244,-498
348,1254,720.297161,-538,-66,-242,408
349,2438,1846.647774,108,1774,58,-498
350,4658,2422.838831,684,-1168,-1178,-1628
351,4586,2859.374057,-2528,-808,-206,-1044
352,3452,1857.622136,480,608,1350,-1014
353,3324,2284.740686,-2152,-176,322,674
354,1676,957.718121,212,-190,-748,526
355,3076,1575.588779,494,950,770,862
356,3212,1648.943904,636,-682,-780,-1114
357,2848,1712.002336,766,84,-1412,586
358,2832,1708.592403,1272,22,526,1012
359,3284,2029.524082,1228,-446,58,-1552
360,3562,2014.383280,-496,1222,1478,366
361,3558,2012.233585,1402,140,1134,-882
362,3276,1896.082277,-1026,64,-1366,820
363,5280,3408.886035,2332,-2462,280,206
364,1554,943.917369,-364,764,418,-8
365,3094,2051.117744,-210,1912,-618,-354
366,4542,2661.018602,2322,606,708,-906
367,4368,2930.795114,2694,-222,1064,388
368,2742,1496.204531,1148,748,382,-464
369,3920,2303.656224,890,1930,-854,246
370,1548,862.670273,620,-436,-402,-90
371,1902,1204.885057,4,540,-334,1024
372,5804,3145.143558,1560,-612,-1322,-2310
373,2770,1774.180374,408,-348,-362,1652
374,1828,1075.802956,30,628,388,782
375,3082,1675.719547,-1282,-836,460,504
376,2462,1555.373910,-1354,152,-248,708
377,4356,2445.510172,-866,-1704,288,1498
378,4460,2641.598001,-1814,1746,-792,108
379,2876,1600.817291,874,260,-544,1198
380,3260,2096.337759,222,1836,246,956
381,3402,2013.640484,1138,-212,474,-1578
382,3558,2265.500386,-858,238,2040,422
383,4464,2443.058739,450,-1250,944,1820
384,2576,1543.810869,132,544,-586,1314
385,4734,3120.455736,1342,498,-124,2770
386,4608,2677.480906,-2230,1242,632,-504
387,4268,2491.664504,-118,-1310,-948,-1892
388,4042,2085.744951,-914,974,-726,1428
389,1530,911.523999,-226,-218,-810,-276
390,2752,1541.710738,-582,402,488,1280
391,3048,1843.255815,168,-1052,370,1458
392,3640,1884.174090,1032,-876,536,-1196
393,5446,2826.291563,1248,802,-1800,-1596
394,4064,2610.926272,92,2306,-606,-1060
395,3082,1906.715501,1674,-336,266,806
396,2736,1451.355229,876,972,-444,-444
397,1780,1065.224859,-188,924,228,440
398,3346,2029.672880,-494,1772,-264,-816
399,3834,2091.798269,-426,-1000,-820,1588
400,5574,3658.363022,696,3204,-52,1622
401,4194,2514.210015,-960,-1168,-2008,-58
402,4288,2284.957768,-1578,568,832,-1310
403,2398,1317.474857,-142,-834,644,-778
404,3946,2193.491281,-568,-1762,-1006,610
405,2710,1517.725930,-500,720,1206,-284
406,3112,1981.351054,-1096,380,1606,30
407,2590,1516.510468,1202,130,-476,-782
408,3214,1725.237375,1100,502,478,-1134
409,2424,1670.470592,86,-1394,-916,-28
410,3256,1987.875248,1492,-288,-212,-1264
411,4928,2857.440813,1148,1508,-138,2134
412,3162,1811.349773,-978,-172,638,-1374
413,3570,2216.699348,1454,1630,354,-132
414,2234,1407.586587,-800,-268,-40,-1126
415,1826,1003.495889,-610,-546,-98,-572
416,1750,995.351194,364,-454,136,796
417,4226,2699.073174,-1424,-308,234,2260
418,3406,1932.013458,1624,-660,-684,-438
419,5118,3833.949921,56,3672,-344,-1046
420,3558,2064.115307,-156,-1502,-654,1246
421,7366,4304.841460,3562,1432,-486,-1886
422,3884,2404.858416,668,-2044,1072,100
423,2876,2020.627625,-280,-574,108,-1914
424,2858,1566.196667,-1136,-242,806,-674
425,1196,657.565206,174,-166,364,492
426,4608,2567.730515,-1444,-1784,-258,-1122
427,5906,3709.770343,-2210,-2930,-380,386
428,3556,1897.488867,380,-816,-1232,1128
429,3310,1901.345839,1058,18,-1122,1112
430,3150,1991.549146,-340,-1202,58,-1550
431,3016,2066.223608,-1932,-672,-216,-196
432,2418,2070.260853,-132,174,54,-2058
433,5552,2822.873713,1572,1164,1706,-1110
434,1278,985.107101,-48,-960,206,-64
435,3164,2046.861011,564,-1822,-36,-742
436,1516,851.459923,-492,-90,-606,328
437,1004,601.857126,14,186,356,-448
438,4932,2718.465744,1372,-924,550,2086
439,3058,1824.527336,1264,-8,-632,1154
440,3870,2577.222536,1180,386,-46,2258
441,5694,3532.951740,136,-1362,-3048,-1148
442,3926,2130.114551,-1510,-1086,976,354
443,3164,1848.980259,-446,-1614,604,500
444,3626,1953.926304,644,1156,-466,1360
445,3796,2277.108693,1560,-1498,-712,-26
446,2370,1344.254440,-754,586,-88,942
447,1318,836.652855,268,288,-24,-738
448,4216,2706.349571,-2468,-282,534,932
449,3580,1950.952588,734,1340,342,-1164
450,3080,1958.568865,-1604,210,-1090,176
451,2764,1751.929222,970,-240,-1434,-120
452,2014,1030.403804,-494,624,332,-564
453,2616,1676.961538,-60,-230,1322,-1004
454,3424,1933.086651,1608,610,764,442
455,2872,1601.496800,650,-1248,722,-252
456,3130,1845.156904,-1198,470,-148,1314
457,3902,2372.540411,-48,1268,1874,-712
458,4792,2683.534982,290,-1010,-1738,1754
459,1822,950.543003,-482,-272,-650,418
460,2270,1493.903611,724,-182,-72,-1292
461,1114,713.663786,-628,12,-202,-272
462,3146,2104.812581,34,-1930,-644,538
463,2752,1648.128636,-374,-204,794,-1380
464,2602,1431.917595,-492,-512,-1166,-432
465,3432,2021.047253,1676,350,990,416
466,2188,1297.563871,1142,346,-436,264
467,2378,1520.619611,84,-1122,-1010,162
468,1570,1002.849939,-118,922,240,290
469,2880,2224.544897,-196,-454,-62,-2168
470,2204,1441.352143,-1296,102,226,580
471,2986,1535.983073,482,678,906,-920
472,3368,2042.145930,1072,-1614,38,-644
473,1408,815.073003,420,40,610,-338
474,2504,1489.942281,-470,-232,500,1302
475,2472,1712.642403,-106,416,1626,324
476,2944,1849.265800,10,-1048,-422,1464
477,1758,1378.586232,-120,20,-272,1346
478,2340,1342.874529,996,732,-516,-96
479,438,324.215977,-314,-36,70,18
480,1666,950.690276,666,-452,44,-504
481,1660,922.717725,-558,-170,-270,-662
482,2500,1425.440283,-194,992,-386,928
483,2178,1372.088918,1128,-738,-64,-248
484,2110,1110.277443,416,590,-326,-778
485,1936,1054.760636,-700,174,412,-650
486,2170,1462.938139,670,90,-1292,-118
487,3636,2472.674665,270,-544,2350,472
488,1904,1132.999559,-714,796,374,20
489,3646,1996.784415,-394,1536,870,-846
490,3100,1629.107731,-910,-1070,396,-724
491,1204,940.438196,-920,34,178,-72
492,1942,1343.340612,1186,-136,616,-4
493,3352,1993.613804,4,-956,1512,880
494,2354,1328.161135,-178,426,-776,974
495,2734,1780.540367,264,1400,2,-1068
496,6524,3379.876921,2142,986,1918,1478
497,3520,1897.124139,-532,1426,-958,604
498,3506,1801.709189,-1210,-894,-704,698
499,2902,1768.521416,-722,52,-652,-1476
500,2600,1452.545352,-752,728,120,-1000
501,1182,734.321455,658,242,-78,204
502,3526,1906.449055,-538,500,1240,1248
503,4808,2565.268017,1402,1570,-436,1400
504,3246,1678.724516,-768,-500,884,1094
505,2936,2017.778977,396,-116,-518,-1906
506,2908,1535.215946,-1078,-804,618,-408
507,2290,1441.719806,-926,-100,178,1086
508,4316,2496.632933,-132,-1128,-1898,-1158
509,950,572.702366,162,404,372,-12
510,3830,2388.273854,96,550,-1994,1190
511,1668,1214.429907,-1160,-46,-130,-332
512,948,491.520091,254,-172,-336,-186
513,4060,2528.928627,-824,-378,566,-2292
514,1866,1416.066383,1378,-246,30,212
515,1828,1180.403321,104,-746,906,72
516,2456,1415.225777,218,-366,-1122,750
517,2208,1256.429863,622,-992,172,422
518,2806,1618.239784,-968,6,874,958
519,3448,2067.932301,114,1720,842,-772
520,1182,858.983120,34,818,-84,246
521,2552,1497.173337,602,-992,-946,12
522,3842,2282.823690,958,-328,-600,-1956
523,2804,1667.561093,-674,444,-248,-1438
524,2680,1570.469993,1136,218,-1016,-310
525,2750,1574.734263,962,-72,1054,-662
526,2490,1289.333161,518,-784,786,-402
527,4060,2117.400293,-692,-806,-1472,-1090
528,2154,1140.464818,764,254,508,-628
529,3480,1970.975393,1134,-520,338,1488
530,1686,1067.758400,58,664,-142,822
531,2666,1653.840379,-1392,-414,-72,-788
532,1540,783.555997,-346,-378,-504,-312
533,4448,2448.197704,-742,-1788,-508,1410
534,2916,1988.525082,554,1852,464,-46
535,4092,2424.783702,546,404,-1080,-2062
536,1658,1075.042325,-72,82,672,832
537,5594,3318.951039,-1082,-2926,-906,-680
538,2682,1617.960445,194,520,1416,552
539,2800,1744.243102,-574,-1554,-146,-526
540,4842,2705.937915,-392,-1976,1556,-918
541,3056,1762.101019,388,716,1494,-458
542,2774,2218.072136,198,-2192,224,-160
543,4448,2387.214276,1836,-906,-692,1014
544,3996,3014.990547,2882,-68,-182,864
545,3654,2145.772588,-1588,34,-924,1108
546,2402,1482.874236,346,24,-1100,-932
547,4146,2205.771520,796,-1040,-1646,-664
548,1220,763.324309,68,-94,460,598
549,2230,1390.112226,-1254,-198,294,-484
550,4602,2511.792189,-386,-1138,1286,-1792
551,3500,1889.323689,824,-686,-1464,526
552,3512,2481.312556,2286,-74,-214,-938
553,2264,1721.724717,110,-242,-226,-1686
554,2066,1315.806977,-296,616,30,-1124
555,2610,1790.187700,-92,56,-946,1516
556,3320,1877.387547,474,-528,750,1568
557,5314,2914.252563,-1368,-2276,682,-988
558,2162,1126.198917,696,-696,424,346
559,3944,2353.193575,1662,-442,-254,-1586
560,3508,1912.537581,432,-1358,584,1134
561,2096,1195.571830,114,806,394,782
562,1872,1227.286438,-334,214,-1148,-176
563,4086,2098.118204,1410,-900,1004,772
564,2854,1679.803560,-672,166,614,1402
565,5192,2913.916951,-1820,2072,792,508
566,2570,1591.679616,-506,316,-1444,304
567,1664,1138.079083,100,-1048,-94,422
568,2092,1375.467920,204,-438,-1276,174
569,2982,1707.239878,-464,-1454,-434,-630
570,2428,1265.066006,792,454,776,-406
571,5430,3402.526708,-88,-816,1688,-2838
572,4416,2468.497519,-1906,-484,-718,-1308
573,3686,2617.744831,48,242,982,2414
574,3772,2069.042291,302,-1494,-1040,-936
575,2602,1684.053443,-2,-1480,656,-464
576,3872,2285.846889,-100,-1054,1812,-906
577,3610,2150.598986,780,-184,1814,832
578,322,215.025580,-20,-46,-54,202
579,2706,1378.858949,-842,-552,772,-540
580,1684,1176.261876,1074,-466,108,36
581,1734,978.556079,294,536,-156,748
582,3134,1718.062863,1310,338,-650,836
583,2674,1518.824545,-368,-638,1266,-402
584,4310,2605.527202,-1880,-400,-1734,-296
585,1178,627.499801,-258,-406,380,134
586,2504,1428.344496,-170,-432,-1040,-862
587,2808,1524.858026,-1152,328,598,730
588,1470,987.742882,64,904,370,132
589,2792,1615.386022,-896,48,704,-1144
590,5790,3049.783599,2078,-842,-1156,1714
591,3904,2053.623140,-542,-800,1252,-1310
592,3658,2018.889794,-518,-1526,-1104,510
593,4090,2598.113931,-142,-1892,-1748,308
594,2872,1588.916612,942,-130,886,-914
595,3164,1844.910838,452,-1436,-1040,-236
596,1272,685.705476,102,362,438,370
597,1276,818.789350,160,-724,-344,-48
598,4532,2725.871604,-912,-1114,-2306,-200
599,3972,2765.555279,714,-226,-2632,400
600,4570,2289.040847,-1118,1148,-1246,-1058
601,2522,1483.664383,-234,-510,498,-1280
602,2420,1329.809009,224,504,718,974
603,4214,2265.127811,-908,1620,1204,482
604,2414,1437.671729,-594,664,1128,-28
605,2526,1439.548540,-630,-982,74,840
606,4574,2494.840275,376,1150,-1764,-1284
607,3472,1802.160925,1266,-816,-776,-614
608,2670,1401.021056,-834,-878,342,616
609,1852,1184.773396,-64,-778,-128,-882
610,2938,1560.806202,854,308,1020,756
611,2500,1471.994565,-698,-1198,126,478
612,2856,1909.098216,38,-550,-1754,-514
613,2188,1137.762717,-514,-346,-544,784
614,3894,2096.941582,-1408,-1142,350,-994
615,2312,1289.976744,936,-638,602,-136
616,3142,1754.813950,-718,-1256,-974,-194
617,2844,1831.349229,-498,-658,-54,-1634
618,2230,1265.317351,-60,-740,-832,-598
619,3030,1981.662938,998,1688,-278,66
620,3236,1882.689565,370,-682,564,1620
621,4250,2439.049815,-936,220,1892,-1202
622,3840,2402.999792,152,-760,798,-2130
623,3608,2173.919962,-1016,342,402,1848
624,2902,2017.534138,290,-98,618,1896
625,4360,2226.552492,992,1428,1132,808
626,3390,1858.845878,1318,272,1010,790
627,3416,1789.102568,790,1200,-468,958
628,1602,977.987730,-10,-670,258,-664
629,2444,1525.471730,-368,894,1180,2
