walk,n_minus,n_zero,n_plus,m_over_n
100,687,45,268,0.7095000000
101,245,16,739,0.7470000000
102,432,34,534,0.5510000000
103,688,23,289,0.6995000000
104,478,57,465,0.5065000000
105,993,4,3,0.9950000000
106,97,19,884,0.8935000000
107,903,30,67,0.9180000000
108,240,31,729,0.7445000000
109,9,9,982,0.9865000000
110,858,22,120,0.8690000000
111,347,26,627,0.6400000000
112,835,36,129,0.8530000000
113,593,45,362,0.6155000000
114,140,26,834,0.8470000000
115,1000,0,0,1.0000000000
116,488,49,463,0.5125000000
117,983,13,4,0.9895000000
118,236,32,732,0.7480000000
119,903,14,83,0.9100000000
120,657,47,296,0.6805000000
121,839,51,110,0.8645000000
122,104,22,874,0.8850000000
123,951,10,39,0.9560000000
124,550,53,397,0.5765000000
125,986,4,10,0.9880000000
126,73,14,913,0.9200000000
127,305,15,680,0.6875000000
128,20,16,964,0.9720000000
129,272,38,690,0.7090000000
130,204,57,739,0.7675000000
131,997,2,1,0.9980000000
132,850,20,130,0.8600000000
133,3,1,996,0.9965000000
134,627,26,347,0.6400000000
135,922,16,62,0.9300000000
136,827,20,153,0.8370000000
137,214,53,733,0.7595000000
138,867,24,109,0.8790000000
139,496,33,471,0.5125000000
140,295,18,687,0.6960000000
141,188,8,804,0.8080000000
142,291,70,639,0.6740000000
143,965,9,26,0.9695000000
144,970,9,21,0.9745000000
145,877,24,99,0.8890000000
146,46,15,939,0.9465000000
147,958,15,27,0.9655000000
148,792,18,190,0.8010000000
149,998,2,0,0.9990000000
150,393,25,582,0.5945000000
151,183,40,777,0.7970000000
152,863,22,115,0.8740000000
153,75,23,902,0.9135000000
154,560,7,433,0.5635000000
155,0,3,997,0.9985000000
156,227,27,746,0.7595000000
157,847,37,116,0.8655000000
158,895,25,80,0.9075000000
159,198,25,777,0.7895000000
160,446,18,536,0.5450000000
161,897,25,78,0.9095000000
162,368,60,572,0.6020000000
163,779,68,153,0.8130000000
164,177,24,799,0.8110000000
165,982,4,14,0.9840000000
166,808,15,177,0.8155000000
167,207,4,789,0.7910000000
168,90,37,873,0.8915000000
169,979,9,12,0.9835000000
170,20,9,971,0.9755000000
171,131,30,839,0.8540000000
172,213,39,748,0.7675000000
173,692,44,264,0.7140000000
174,159,47,794,0.8175000000
175,843,28,129,0.8570000000
176,53,6,941,0.9440000000
177,503,36,461,0.5210000000
178,371,21,608,0.6185000000
179,44,14,942,0.9490000000
180,38,17,945,0.9535000000
181,655,73,272,0.6915000000
182,228,42,730,0.7510000000
183,912,14,74,0.9190000000
184,451,48,501,0.5250000000
185,7,5,988,0.9905000000
186,991,3,6,0.9925000000
187,148,47,805,0.8285000000
188,812,39,149,0.8315000000
189,6,5,989,0.9915000000
190,867,13,120,0.8735000000
191,993,5,2,0.9955000000
192,901,25,74,0.9135000000
193,159,20,821,0.8310000000
194,552,53,395,0.5785000000
195,698,17,285,0.7065000000
196,238,42,720,0.7410000000
197,663,29,308,0.6775000000
198,402,35,563,0.5805000000
199,252,26,722,0.7350000000
200,247,35,718,0.7355000000
201,565,15,420,0.5725000000
202,1000,0,0,1.0000000000
203,242,59,699,0.7285000000
204,704,12,284,0.7100000000
205,233,11,756,0.7615000000
206,31,21,948,0.9585000000
207,736,33,231,0.7525000000
208,594,66,340,0.6270000000
209,97,15,888,0.8955000000
210,445,64,491,0.5230000000
211,594,51,355,0.6195000000
212,92,8,900,0.9040000000
213,900,17,83,0.9085000000
214,16,12,972,0.9780000000
215,575,9,416,0.5795000000
216,934,29,37,0.9485000000
217,216,29,755,0.7695000000
218,818,30,152,0.8330000000
219,812,34,154,0.8290000000
220,234,28,738,0.7520000000
221,404,47,549,0.5725000000
222,76,23,901,0.9125000000
223,485,22,493,0.5040000000
224,124,38,838,0.8570000000
225,945,10,45,0.9500000000
226,106,20,874,0.8840000000
227,760,55,185,0.7875000000
228,426,30,544,0.5590000000
229,179,16,805,0.8130000000
230,790,20,190,0.8000000000
231,39,25,936,0.9485000000
232,1000,0,0,1.0000000000
233,22,33,945,0.9615000000
234,881,30,89,0.8960000000
235,704,6,290,0.7070000000
236,697,50,253,0.7220000000
237,221,28,751,0.7650000000
238,686,41,273,0.7065000000
239,857,49,94,0.8815000000
240,0,1,999,0.9995000000
241,892,23,85,0.9035000000
242,859,14,127,0.8660000000
243,19,9,972,0.9765000000
244,48,32,920,0.9360000000
245,32,16,952,0.9600000000
246,951,6,43,0.9540000000
247,268,81,651,0.6915000000
248,888,25,87,0.9005000000
249,22,26,952,0.9650000000
250,673,18,309,0.6820000000
251,254,49,697,0.7215000000
252,350,19,631,0.6405000000
253,808,22,170,0.8190000000
254,869,5,126,0.8715000000
255,568,62,370,0.5990000000
256,652,60,288,0.6820000000
257,441,53,506,0.5325000000
258,368,45,587,0.6095000000
259,399,61,540,0.5705000000
260,318,60,622,0.6520000000
261,251,29,720,0.7345000000
262,551,32,417,0.5670000000
263,918,26,56,0.9310000000
264,350,54,596,0.6230000000
265,455,45,500,0.5225000000
266,492,79,429,0.5315000000
267,95,16,889,0.8970000000
268,622,10,368,0.6270000000
269,0,0,1000,1.0000000000
270,218,38,744,0.7630000000
271,71,14,915,0.9220000000
272,481,49,470,0.5055000000
273,199,27,774,0.7875000000
274,914,21,65,0.9245000000
275,896,25,79,0.9085000000
276,84,21,895,0.9055000000
277,366,43,591,0.6125000000
278,314,39,647,0.6665000000
279,4,9,987,0.9915000000
280,666,35,299,0.6835000000
281,0,0,1000,1.0000000000
282,993,2,5,0.9940000000
283,330,34,636,0.6530000000
284,497,28,475,0.5110000000
285,760,23,217,0.7715000000
286,444,17,539,0.5475000000
287,172,30,798,0.8130000000
288,709,41,250,0.7295000000
289,81,23,896,0.9075000000
290,0,4,996,0.9980000000
291,372,18,610,0.6190000000
292,206,56,738,0.7660000000
293,925,23,52,0.9365000000
294,12,6,982,0.9850000000
295,203,38,759,0.7780000000
296,495,26,479,0.5080000000
297,991,4,5,0.9930000000
298,13,3,984,0.9855000000
299,841,32,127,0.8570000000
300,55,39,906,0.9255000000
301,775,62,163,0.8060000000
302,302,26,672,0.6850000000
303,616,4,380,0.6180000000
304,556,24,420,0.5680000000
305,458,23,519,0.5305000000
306,88,36,876,0.8940000000
307,1,4,995,0.9970000000
308,51,15,934,0.9415000000
309,430,78,492,0.5310000000
310,50,11,939,0.9445000000
311,733,50,217,0.7580000000
312,82,20,898,0.9080000000
313,128,44,828,0.8500000000
314,995,3,2,0.9965000000
315,799,32,169,0.8150000000
316,32,7,961,0.9645000000
317,725,26,249,0.7380000000
318,907,40,53,0.9270000000
319,818,29,153,0.8325000000
320,999,1,0,0.9995000000
321,842,15,143,0.8495000000
322,51,29,920,0.9345000000
323,257,33,710,0.7265000000
324,152,29,819,0.8335000000
325,63,33,904,0.9205000000
326,1,3,996,0.9975000000
327,116,30,854,0.8690000000
328,155,17,828,0.8365000000
329,952,9,39,0.9565000000
330,0,0,1000,1.0000000000
331,6,7,987,0.9905000000
332,235,52,713,0.7390000000
333,11,6,983,0.9860000000
334,967,15,18,0.9745000000
335,560,20,420,0.5700000000
336,22,24,954,0.9660000000
337,319,24,657,0.6690000000
338,976,10,14,0.9810000000
339,867,5,128,0.8695000000
340,657,20,323,0.6670000000
341,868,31,101,0.8835000000
342,988,9,3,0.9925000000
343,342,19,639,0.6485000000
344,835,6,159,0.8380000000
345,146,2,852,0.8530000000
346,899,9,92,0.9035000000
347,954,4,42,0.9560000000
348,964,11,25,0.9695000000
349,897,24,79,0.9090000000
350,559,32,409,0.5750000000
351,1000,0,0,1.0000000000
352,50,18,932,0.9410000000
353,60,27,913,0.9265000000
354,104,19,877,0.8865000000
355,478,18,504,0.5130000000
356,721,15,264,0.7285000000
357,20,6,974,0.9770000000
358,24,20,956,0.9660000000
359,1000,0,0,1.0000000000
360,377,59,564,0.5935000000
361,74,31,895,0.9105000000
362,732,33,235,0.7485000000
363,802,37,161,0.8205000000
364,409,25,566,0.5785000000
365,927,22,51,0.9380000000
366,902,7,91,0.9055000000
367,969,10,21,0.9740000000
368,539,61,400,0.5695000000
369,14,4,982,0.9840000000
370,713,27,260,0.7265000000
371,359,46,595,0.6180000000
372,10,5,985,0.9875000000
373,664,23,313,0.6755000000
374,119,7,874,0.8775000000
375,213,58,729,0.7580000000
376,246,24,730,0.7420000000
377,605,50,345,0.6300000000
378,350,31,619,0.6345000000
379,514,53,433,0.5405000000
380,920,3,77,0.9215000000
381,124,33,843,0.8595000000
382,291,76,633,0.6710000000
383,878,4,118,0.8800000000
384,267,28,705,0.7190000000
385,735,43,222,0.7565000000
386,330,40,630,0.6500000000
387,83,14,903,0.9100000000
388,15,10,975,0.9800000000
389,73,33,894,0.9105000000
390,413,21,566,0.5765000000
391,55,21,924,0.9345000000
392,998,2,0,0.9990000000
393,60,11,929,0.9345000000
394,177,36,787,0.8050000000
395,244,44,712,0.7340000000
396,8,6,986,0.9890000000
397,994,5,1,0.9965000000
398,928,11,61,0.9335000000
399,497,32,471,0.5130000000
400,880,39,81,0.8995000000
401,994,3,3,0.9955000000
402,519,29,452,0.5335000000
403,185,3,812,0.8135000000
404,14,7,979,0.9825000000
405,345,30,625,0.6400000000
406,1000,0,0,1.0000000000
407,824,14,162,0.8310000000
408,54,23,923,0.9345000000
409,996,3,1,0.9975000000
410,632,56,312,0.6600000000
411,168,32,800,0.8160000000
412,940,26,34,0.9530000000
413,1,7,992,0.9955000000
414,864,20,116,0.8740000000
415,1,1,998,0.9985000000
416,585,28,387,0.5990000000
417,526,44,430,0.5480000000
418,708,37,255,0.7265000000
419,15,15,970,0.9775000000
420,992,6,2,0.9950000000
421,35,13,952,0.9585000000
422,538,44,418,0.5600000000
423,270,44,686,0.7080000000
424,466,58,476,0.5050000000
425,484,18,498,0.5070000000
426,374,15,611,0.6185000000
427,95,24,881,0.8930000000
428,69,21,910,0.9205000000
429,299,39,662,0.6815000000
430,633,27,340,0.6465000000
431,204,73,723,0.7595000000
432,9,3,988,0.9895000000
433,15,6,979,0.9820000000
434,615,26,359,0.6280000000
435,216,38,746,0.7650000000
436,0,4,996,0.9980000000
437,954,17,29,0.9625000000
438,997,2,1,0.9980000000
439,994,4,2,0.9960000000
440,962,21,17,0.9725000000
441,268,22,710,0.7210000000
442,482,39,479,0.5015000000
443,97,30,873,0.8880000000
444,316,60,624,0.6540000000
445,437,61,502,0.5325000000
446,928,18,54,0.9370000000
447,606,42,352,0.6270000000
448,366,42,592,0.6130000000
449,163,27,810,0.8235000000
450,824,29,147,0.8385000000
451,987,7,6,0.9905000000
452,180,17,803,0.8115000000
453,164,43,793,0.8145000000
454,416,34,550,0.5670000000
455,787,24,189,0.7990000000
456,3,2,995,0.9960000000
457,183,40,777,0.7970000000
458,1000,0,0,1.0000000000
459,124,29,847,0.8615000000
460,350,20,630,0.6400000000
461,675,50,275,0.7000000000
462,43,17,940,0.9485000000
463,890,38,72,0.9090000000
464,364,39,597,0.6165000000
465,208,10,782,0.7870000000
466,866,57,77,0.8945000000
467,929,16,55,0.9370000000
468,143,36,821,0.8390000000
469,992,4,4,0.9940000000
470,954,13,33,0.9605000000
471,233,50,717,0.7420000000
472,63,25,912,0.9245000000
473,571,19,410,0.5805000000
474,0,1,999,0.9995000000
475,25,5,970,0.9725000000
476,109,34,857,0.8740000000
477,785,53,162,0.8115000000
478,749,24,227,0.7610000000
479,0,5,995,0.9975000000
480,113,29,858,0.8725000000
481,221,23,756,0.7675000000
482,103,6,891,0.8940000000
483,983,6,11,0.9860000000
484,848,18,134,0.8570000000
485,991,7,2,0.9945000000
486,996,1,3,0.9965000000
487,670,31,299,0.6855000000
488,544,42,414,0.5650000000
489,995,5,0,0.9975000000
490,933,37,30,0.9515000000
491,998,2,0,0.9990000000
492,0,0,1000,1.0000000000
493,857,41,102,0.8775000000
494,824,59,117,0.8535000000
495,74,9,917,0.9215000000
496,581,24,395,0.5930000000
497,1000,0,0,1.0000000000
498,905,30,65,0.9200000000
499,851,32,117,0.8670000000
500,997,3,0,0.9985000000
501,527,35,438,0.5445000000
502,923,3,74,0.9245000000
503,691,23,286,0.7025000000
504,807,21,172,0.8175000000
505,813,32,155,0.8290000000
506,924,29,47,0.9385000000
507,432,67,501,0.5345000000
508,275,18,707,0.7160000000
509,519,80,401,0.5590000000
510,9,7,984,0.9875000000
511,117,13,870,0.8765000000
512,395,54,551,0.5780000000
513,216,54,730,0.7570000000
514,196,9,795,0.7995000000
515,999,1,0,0.9995000000
516,335,9,656,0.6605000000
517,958,12,30,0.9640000000
518,254,49,697,0.7215000000
519,46,52,902,0.9280000000
520,995,4,1,0.9970000000
521,899,5,96,0.9015000000
522,206,27,767,0.7805000000
523,863,22,115,0.8740000000
524,498,11,491,0.5035000000
525,621,14,365,0.6280000000
526,702,10,288,0.7070000000
527,875,17,108,0.8835000000
528,0,2,998,0.9990000000
529,961,10,29,0.9660000000
530,778,40,182,0.7980000000
531,296,36,668,0.6860000000
532,983,14,3,0.9900000000
533,46,19,935,0.9445000000
534,706,22,272,0.7170000000
535,39,23,938,0.9495000000
536,199,5,796,0.7985000000
537,911,19,70,0.9205000000
538,810,28,162,0.8240000000
539,108,38,854,0.8730000000
540,2,10,988,0.9930000000
541,741,40,219,0.7610000000
542,979,10,11,0.9840000000
543,5,2,993,0.9940000000
544,783,7,210,0.7865000000
545,965,8,27,0.9690000000
546,945,8,47,0.9490000000
547,337,103,560,0.6115000000
548,555,11,434,0.5605000000
549,777,27,196,0.7905000000
550,261,34,705,0.7220000000
551,688,26,286,0.7010000000
552,1000,0,0,1.0000000000
553,904,13,83,0.9105000000
554,994,5,1,0.9965000000
555,697,7,296,0.7005000000
556,976,11,13,0.9815000000
557,829,20,151,0.8390000000
558,90,14,896,0.9030000000
559,229,34,737,0.7540000000
560,183,26,791,0.8040000000
561,588,10,402,0.5930000000
562,700,21,279,0.7105000000
563,1000,0,0,1.0000000000
564,2,8,990,0.9940000000
565,934,14,52,0.9410000000
566,0,0,1000,1.0000000000
567,766,18,216,0.7750000000
568,641,48,311,0.6650000000
569,743,6,251,0.7460000000
570,456,31,513,0.5285000000
571,10,4,986,0.9880000000
572,755,8,237,0.7590000000
573,726,48,226,0.7500000000
574,994,3,3,0.9955000000
575,665,9,326,0.6695000000
576,724,45,231,0.7465000000
577,530,70,400,0.5650000000
578,238,67,695,0.7285000000
579,694,17,289,0.7025000000
580,950,15,35,0.9575000000
581,40,18,942,0.9510000000
582,134,55,811,0.8385000000
583,324,39,637,0.6565000000
584,475,36,489,0.5070000000
585,987,8,5,0.9910000000
586,94,27,879,0.8925000000
587,364,53,583,0.6095000000
588,846,27,127,0.8595000000
589,1000,0,0,1.0000000000
590,992,2,6,0.9930000000
591,939,30,31,0.9540000000
592,481,21,498,0.5085000000
593,474,38,488,0.5070000000
594,930,25,45,0.9425000000
595,11,12,977,0.9830000000
596,40,12,948,0.9540000000
597,75,21,904,0.9145000000
598,940,32,28,0.9560000000
599,674,23,303,0.6855000000
600,35,5,960,0.9625000000
601,996,1,3,0.9965000000
602,5,5,990,0.9925000000
603,107,18,875,0.8840000000
604,9,16,975,0.9830000000
605,708,43,249,0.7295000000
606,730,47,223,0.7535000000
607,197,42,761,0.7820000000
608,545,58,397,0.5740000000
609,966,11,23,0.9715000000
610,789,39,172,0.8085000000
611,3,9,988,0.9925000000
612,530,54,416,0.5570000000
613,998,2,0,0.9990000000
614,75,6,919,0.9220000000
615,966,14,20,0.9730000000
616,99,19,882,0.8915000000
617,225,30,745,0.7600000000
618,448,30,522,0.5370000000
619,885,34,81,0.9020000000
620,903,40,57,0.9230000000
621,2,5,993,0.9955000000
622,34,19,947,0.9565000000
623,521,20,459,0.5310000000
624,179,17,804,0.8125000000
625,734,53,213,0.7605000000
626,825,24,151,0.8370000000
627,19,19,962,0.9715000000
628,768,18,214,0.7770000000
629,970,11,19,0.9755000000
630,267,34,699,0.7160000000
631,111,32,857,0.8730000000
632,997,2,1,0.9980000000
633,619,37,344,0.6375000000
634,767,12,221,0.7730000000
635,495,47,458,0.5185000000
636,25,18,957,0.9660000000
637,795,58,147,0.8240000000
638,639,53,308,0.6655000000
639,19,5,976,0.9785000000
640,833,39,128,0.8525000000
641,926,35,39,0.9435000000
642,913,8,79,0.9170000000
643,924,20,56,0.9340000000
644,192,33,775,0.7915000000
645,827,24,149,0.8390000000
646,221,33,746,0.7625000000
647,266,20,714,0.7240000000
648,781,26,193,0.7940000000
649,577,16,407,0.5850000000
650,662,36,302,0.6800000000
651,518,66,416,0.5510000000
652,893,18,89,0.9020000000
653,766,67,167,0.7995000000
654,210,44,746,0.7680000000
655,676,20,304,0.6860000000
656,666,24,310,0.6780000000
657,109,26,865,0.8780000000
658,783,5,212,0.7855000000
659,563,36,401,0.5810000000
660,995,3,2,0.9965000000
661,175,91,734,0.7795000000
662,733,5,262,0.7355000000
663,440,26,534,0.5470000000
664,851,10,139,0.8560000000
665,945,18,37,0.9540000000
666,3,1,996,0.9965000000
667,421,33,546,0.5625000000
668,4,3,993,0.9945000000
669,779,42,179,0.8000000000
670,878,13,109,0.8845000000
671,281,36,683,0.7010000000
672,73,28,899,0.9130000000
673,1000,0,0,1.0000000000
674,53,14,933,0.9400000000
675,257,26,717,0.7300000000
676,995,3,2,0.9965000000
677,751,39,210,0.7705000000
678,793,36,171,0.8110000000
679,358,37,605,0.6235000000
680,337,28,635,0.6490000000
681,744,87,169,0.7875000000
682,934,22,44,0.9450000000
683,52,3,945,0.9465000000
684,110,48,842,0.8660000000
685,1000,0,0,1.0000000000
686,18,24,958,0.9700000000
687,998,1,1,0.9985000000
688,946,11,43,0.9515000000
689,295,71,634,0.6695000000
690,0,0,1000,1.0000000000
691,111,23,866,0.8775000000
692,939,25,36,0.9515000000
693,766,38,196,0.7850000000
694,381,31,588,0.6035000000
695,482,59,459,0.5115000000
696,29,15,956,0.9635000000
697,18,20,962,0.9720000000
698,111,23,866,0.8775000000
699,632,34,334,0.6490000000
700,82,27,891,0.9045000000
701,998,2,0,0.9990000000
702,487,94,419,0.5340000000
703,119,11,870,0.8755000000
704,731,37,232,0.7495000000
705,905,31,64,0.9205000000
706,698,68,234,0.7320000000
707,749,37,214,0.7675000000
708,712,65,223,0.7445000000
709,44,24,932,0.9440000000
710,232,23,745,0.7565000000
711,40,14,946,0.9530000000
712,393,25,582,0.5945000000
713,755,7,238,0.7585000000
714,556,10,434,0.5610000000
715,155,45,800,0.8225000000
716,381,31,588,0.6035000000
717,979,11,10,0.9845000000
718,494,26,480,0.5070000000
719,356,5,639,0.6415000000
720,185,15,800,0.8075000000
721,2,4,994,0.9960000000
722,19,23,958,0.9695000000
723,746,73,181,0.7825000000
724,342,54,604,0.6310000000
725,861,23,116,0.8725000000
726,905,24,71,0.9170000000
727,410,45,545,0.5675000000
728,39,17,944,0.9525000000
729,802,28,170,0.8160000000
730,941,36,23,0.9590000000
731,998,1,1,0.9985000000
732,786,48,166,0.8100000000
733,0,0,1000,1.0000000000
734,2,8,990,0.9940000000
735,193,26,781,0.7940000000
736,133,52,815,0.8410000000
737,686,4,310,0.6880000000
738,987,11,2,0.9925000000
739,649,32,319,0.6650000000
740,920,13,67,0.9265000000
741,38,8,954,0.9580000000
742,348,27,625,0.6385000000
743,636,19,345,0.6455000000
744,40,26,934,0.9470000000
745,813,21,166,0.8235000000
746,149,7,844,0.8475000000
747,739,23,238,0.7505000000
748,436,34,530,0.5470000000
749,14,5,981,0.9835000000
750,897,40,63,0.9170000000
751,811,35,154,0.8285000000
752,247,38,715,0.7340000000
753,188,40,772,0.7920000000
754,995,2,3,0.9960000000
755,38,27,935,0.9485000000
756,295,33,672,0.6885000000
757,926,23,51,0.9375000000
758,532,56,412,0.5600000000
759,967,23,10,0.9785000000
760,87,28,885,0.8990000000
761,506,24,470,0.5180000000
762,800,46,154,0.8230000000
763,48,13,939,0.9455000000
764,197,9,794,0.7985000000
765,718,29,253,0.7325000000
766,190,30,780,0.7950000000
767,723,44,233,0.7450000000
768,24,17,959,0.9675000000
769,566,15,419,0.5735000000
770,182,50,768,0.7930000000
771,62,14,924,0.9310000000
772,955,24,21,0.9670000000
773,94,16,890,0.8980000000
774,553,22,425,0.5640000000
775,565,46,389,0.5880000000
776,421,19,560,0.5695000000
777,739,53,208,0.7655000000
778,989,5,6,0.9915000000
779,667,10,323,0.6720000000
780,410,45,545,0.5675000000
781,999,1,0,0.9995000000
782,990,7,3,0.9935000000
783,664,40,296,0.6840000000
784,227,36,737,0.7550000000
785,194,53,753,0.7795000000
786,968,16,16,0.9760000000
787,894,8,98,0.8980000000
788,0,0,1000,1.0000000000
789,888,22,90,0.8990000000
790,751,31,218,0.7665000000
791,244,35,721,0.7385000000
792,11,1,988,0.9885000000
793,998,2,0,0.9990000000
794,833,10,157,0.8380000000
795,935,22,43,0.9460000000
796,748,44,208,0.7700000000
797,85,26,889,0.9020000000
798,271,50,679,0.7040000000
799,417,70,513,0.5480000000
800,39,20,941,0.9510000000
801,1000,0,0,1.0000000000
802,429,57,514,0.5425000000
803,53,24,923,0.9350000000
804,865,15,120,0.8725000000
805,188,74,738,0.7750000000
806,930,1,69,0.9305000000
807,251,4,745,0.7470000000
808,3,9,988,0.9925000000
809,978,12,10,0.9840000000
810,966,3,31,0.9675000000
811,775,49,176,0.7995000000
812,944,29,27,0.9585000000
813,40,6,954,0.9570000000
814,714,16,270,0.7220000000
815,990,5,5,0.9925000000
816,918,34,48,0.9350000000
817,2,2,996,0.9970000000
818,588,22,390,0.5990000000
819,5,6,989,0.9920000000
820,647,25,328,0.6595000000
821,774,34,192,0.7910000000
822,943,26,31,0.9560000000
823,750,39,211,0.7695000000
824,652,19,329,0.6615000000
825,978,11,11,0.9835000000
826,751,16,233,0.7590000000
827,511,26,463,0.5240000000
828,779,50,171,0.8040000000
829,1000,0,0,1.0000000000
830,0,2,998,0.9990000000
831,739,48,213,0.7630000000
832,250,27,723,0.7365000000
833,113,23,864,0.8755000000
834,409,50,541,0.5660000000
835,845,26,129,0.8580000000
836,846,26,128,0.8590000000
837,960,12,28,0.9660000000
838,150,38,812,0.8310000000
839,25,21,954,0.9645000000
840,350,13,637,0.6435000000
841,663,43,294,0.6845000000
842,164,59,777,0.8065000000
843,405,39,556,0.5755000000
844,340,37,623,0.6415000000
845,801,21,178,0.8115000000
846,8,2,990,0.9910000000
847,1000,0,0,1.0000000000
848,1,2,997,0.9980000000
849,657,38,305,0.6760000000
850,9,8,983,0.9870000000
851,991,6,3,0.9940000000
852,706,10,284,0.7110000000
853,403,38,559,0.5780000000
854,200,23,777,0.7885000000
855,394,39,567,0.5865000000
856,368,27,605,0.6185000000
857,982,8,10,0.9860000000
858,991,5,4,0.9935000000
859,968,2,30,0.9690000000
860,999,1,0,0.9995000000
861,54,11,935,0.9405000000
862,321,31,648,0.6635000000
863,989,5,6,0.9915000000
864,92,11,897,0.9025000000
865,3,1,996,0.9965000000
866,116,29,855,0.8695000000
867,892,12,96,0.8980000000
868,789,22,189,0.8000000000
869,99,42,859,0.8800000000
870,819,23,158,0.8305000000
871,455,60,485,0.5150000000
872,45,8,947,0.9510000000
873,184,32,784,0.8000000000
874,799,38,163,0.8180000000
875,425,9,566,0.5705000000
876,443,11,546,0.5515000000
877,1,3,996,0.9975000000
878,16,18,966,0.9750000000
879,28,6,966,0.9690000000
880,996,3,1,0.9975000000
881,789,14,197,0.7960000000
882,233,18,749,0.7580000000
883,602,26,372,0.6150000000
884,1,7,992,0.9955000000
885,727,34,239,0.7440000000
886,96,39,865,0.8845000000
887,309,47,644,0.6675000000
888,8,7,985,0.9885000000
889,349,47,604,0.6275000000
890,839,24,137,0.8510000000
891,977,14,9,0.9840000000
892,401,96,503,0.5510000000
893,341,43,616,0.6375000000
894,130,37,833,0.8515000000
895,938,32,30,0.9540000000
896,45,25,930,0.9425000000
897,0,1,999,0.9995000000
898,99,38,863,0.8820000000
899,169,15,816,0.8235000000
900,244,22,734,0.7450000000
901,322,40,638,0.6580000000
902,461,36,503,0.5210000000
903,464,71,465,0.5005000000
904,972,10,18,0.9770000000
905,300,59,641,0.6705000000
906,399,38,563,0.5820000000
907,101,27,872,0.8855000000
908,379,20,601,0.6110000000
909,160,5,835,0.8375000000
910,748,25,227,0.7605000000
911,488,20,492,0.5020000000
912,102,31,867,0.8825000000
913,27,8,965,0.9690000000
914,6,15,979,0.9865000000
915,997,2,1,0.9980000000
916,984,2,14,0.9850000000
917,67,27,906,0.9195000000
918,5,1,994,0.9945000000
919,953,5,42,0.9555000000
920,88,26,886,0.8990000000
921,76,23,901,0.9125000000
922,0,1,999,0.9995000000
923,541,24,435,0.5530000000
924,949,13,38,0.9555000000
925,980,7,13,0.9835000000
926,136,20,844,0.8540000000
927,711,7,282,0.7145000000
