walk,l1,l2,x0,x1,x2
156,210,145.725770,-6,-88,116
157,292,182.844196,46,-100,-146
158,296,185.299757,156,-60,-80
159,122,89.465077,40,-2,80
160,128,79.145436,-62,-44,22
161,130,89.151556,82,-18,-30
162,318,200.489401,-44,156,-118
163,434,256.007812,148,180,106
164,118,81.314205,4,50,64
165,338,211.329127,52,166,-120
166,506,352.459927,36,-314,156
167,356,255.609077,130,-220,6
168,332,252.934774,-2,-96,234
169,184,108.921990,-68,42,-74
170,188,157.860698,156,22,10
171,244,154.012986,-38,126,-80
172,154,92.108632,-58,-32,-64
173,176,116.995726,18,58,100
174,210,132.619757,102,80,28
175,258,186.386695,156,-102,0
176,280,182.010989,-42,158,80
177,130,81.657823,62,50,-18
178,184,123.547562,-112,-28,-44
179,80,49.719212,40,-26,14
180,248,166.973052,-66,150,32
181,170,102.000000,34,-68,-68
182,28,18.547237,12,-2,14
183,182,130.552671,12,-120,50
184,350,207.586127,-124,146,-80
185,204,148.458748,140,46,-18
186,172,110.959452,-92,58,22
187,224,129.367693,76,72,76
188,406,287.687330,-178,-2,-226
189,110,76.655072,4,64,42
190,348,216.942389,-92,74,-182
191,328,237.571042,-42,226,-60
192,202,121.868782,68,92,42
193,334,233.212350,-132,192,10
194,372,224.624130,-82,-174,116
195,264,159.824904,122,-88,-54
196,234,143.735869,-118,60,-56
197,202,149.385408,-66,2,-134
198,288,188.552380,-40,-84,164
199,324,206.591384,108,-170,-46
200,176,150.625363,-148,-28,0
201,276,171.417619,106,42,-128
202,176,116.584733,22,102,52
203,394,247.442923,154,186,54
204,190,113.366662,74,76,-40
205,288,197.078664,182,60,46
206,104,73.266636,-2,-60,-42
207,202,155.087072,-36,-16,150
208,286,195.601636,-120,-154,-12
209,498,290.895170,186,-130,-182
210,186,139.413055,-18,134,34
211,190,167.248318,20,166,4
212,266,157.111425,-106,98,-62
213,158,106.376689,-74,-8,-76
214,280,172.441294,-46,106,-128
215,382,236.144024,-88,-98,-196
216,78,48.124838,38,14,-26
217,182,126.885775,4,-78,-100
218,198,120.183194,-42,62,-94
219,138,111.588530,-108,28,-2
220,58,42.567593,14,-40,4
221,340,223.374126,122,34,-184
222,188,113.595775,-90,50,-48
223,508,353.870033,-310,-30,168
224,248,188.891503,-12,180,-56
225,404,263.909075,-40,212,152
226,278,161.108659,88,-104,-86
227,180,127.404866,-94,0,-86
228,404,293.639234,108,24,-272
229,94,72.138755,-68,2,24
230,398,236.245635,-152,-158,-88
231,192,115.342967,-38,76,78
232,160,98.914104,-78,28,-54
233,324,270.924344,-26,-268,-30
234,102,72.801099,44,58,0
235,296,206.842936,-12,108,176
236,108,63.182276,-42,-28,-38
237,108,66.513157,-50,-40,-18
238,598,395.873717,326,-218,-54
239,252,173.297432,-56,36,-160
240,100,70.936591,-30,64,6
241,202,140.925512,110,-88,-4
242,290,178.807159,146,84,60
243,310,199.969998,-48,90,172
244,212,152.761252,-46,22,-144
245,406,261.877834,182,-40,184
246,286,199.889970,164,-8,114
247,180,111.211510,80,-28,-72
248,350,259.391596,-34,68,-248
249,208,123.190909,-86,74,-48
250,232,154.402073,84,128,-20
251,242,160.112460,-56,42,-144
252,384,293.407566,-272,-110,-2
253,110,72.691127,54,48,8
254,250,167.296145,-30,-72,-148
255,184,115.689239,-24,-82,-78
256,206,141.830885,-114,8,-84
257,128,75.894664,-56,40,-32
258,416,292.465383,-188,-224,-4
259,518,304.808136,186,206,126
260,332,228.263006,-86,-38,-208
261,270,185.440017,-8,-130,-132
262,332,201.295802,150,118,-64
263,126,93.914855,-90,12,24
264,308,199.939991,78,-54,-176
265,150,100.458947,-14,-86,-50
266,222,200.609073,-12,10,-200
267,214,168.059513,44,-162,-8
268,162,113.366662,-102,12,48
269,238,167.630546,140,-6,-92
270,216,181.989011,180,24,-12
271,162,105.166535,88,20,-54
272,256,147.864803,-82,88,-86
273,240,143.527001,-50,100,90
274,192,131.483839,-64,-114,14
275,188,121.753850,102,-62,24
276,196,114.717043,-80,-62,-54
277,108,65.053824,22,38,48
278,304,197.585425,-96,168,-40
279,214,124.979998,86,68,60
280,182,176.056809,-176,-4,2
281,64,40.792156,-8,32,-24
282,226,144.623650,-38,64,-124
283,136,83.666003,-60,54,22
284,158,100.618090,54,22,-82
285,184,126.901537,32,34,-118
286,214,124.979998,78,80,-56
287,124,80.548122,-50,-62,-12
288,308,251.300617,-4,-60,244
289,154,91.498634,-38,-48,68
290,200,138.910043,-8,116,76
291,188,158.543369,-4,-156,28
292,268,158.164471,74,-116,-78
293,344,253.187677,38,-242,64
294,196,123.223374,-28,72,-96
295,344,200.818326,114,94,136
296,302,214.186834,-56,-202,-44
297,244,144.083309,58,-100,-86
298,280,184.802597,-50,166,64
299,250,165.420676,138,-88,24
300,328,192.935222,118,-130,-80
301,182,148.633778,146,26,10
302,290,177.775139,-48,124,118
303,242,153.114336,112,100,30
304,206,190.357558,-190,-10,6
305,200,128.093716,-62,-30,-108
306,416,248.596058,104,122,190
307,82,54.147945,6,-36,-40
308,216,183.630063,14,-182,-20
309,120,90.862534,16,16,-88
310,224,134.491635,-50,-72,-102
311,112,76.681158,-28,14,70
312,308,202.168247,104,34,-170
313,374,241.834654,124,202,48
314,198,122.653985,102,52,44
315,262,157.111425,-70,122,-70
316,94,67.557383,12,-18,-64
317,72,51.613952,30,0,42
318,242,213.175984,212,20,10
319,202,182.570534,-12,-182,8
320,226,153.479640,-116,-10,-100
321,232,163.731488,-154,44,34
322,120,77.768888,-60,-12,48
323,328,197.888858,-90,82,156
324,354,225.166605,130,46,-178
325,86,61.870833,4,26,-56
326,170,98.325988,-58,60,-52
327,188,138.014492,-6,126,-56
328,104,65.543878,-22,-26,56
329,448,370.933956,364,-14,70
330,84,53.516353,12,-44,-28
331,80,47.413078,32,30,18
332,272,188.976189,56,176,40
333,302,175.328264,88,-114,100
334,174,108.535708,-60,28,86
335,184,118.962179,18,78,88
336,132,90.774446,4,-68,60
337,112,80.993827,0,-68,-44
338,298,214.000000,18,-84,196
339,106,64.404969,20,-48,-38
340,160,133.955216,-132,6,-22
341,224,208.384260,-4,12,208
342,172,150.864177,150,-8,-14
343,116,80.099938,-64,4,48
344,204,118.186294,76,-64,-64
345,132,79.949984,28,-62,42
346,336,200.937801,-70,126,140
347,168,138.910043,136,-28,4
348,50,35.832946,-32,2,-16
349,190,141.322327,-30,136,24
350,266,196.662147,-14,-68,184
351,196,133.356665,28,-122,-46
352,322,205.552913,-82,178,-62
353,272,167.116726,44,-114,-114
354,116,104.498804,-10,-2,104
355,410,237.815054,-122,-134,154
356,114,77.588659,-36,10,68
357,156,97.857039,24,-54,-78
358,260,162.529997,44,-132,-84
359,88,64.745656,-60,24,4
360,162,110.724884,-44,-100,-18
361,224,153.179633,-62,-24,138
362,278,185.784822,-168,-66,-44
363,394,254.251844,-202,-148,-44
364,152,99.959992,22,-88,42
365,84,58.446557,46,2,-36
366,48,27.856777,14,-16,18
367,396,236.084731,-180,110,-106
368,390,241.138964,-180,-62,148
369,370,229.111327,-114,186,-70
370,342,198.443947,-130,108,104
371,390,248.298208,-116,64,-210
372,282,189.346244,-166,86,-30
373,224,147.837749,-56,-132,-36
374,248,183.215720,176,36,36
375,274,190.965966,-80,22,172
376,206,162.493077,-12,158,36
377,216,151.499175,-112,-102,2
378,306,186.451066,-62,98,-146
379,326,215.267276,-24,-160,142
380,90,59.966657,-46,-38,6
381,188,120.830460,22,96,-70
382,234,167.104758,158,44,-32
383,152,120.896650,-116,2,34
384,382,266.675833,-42,94,246
385,272,159.974998,66,106,100
386,76,58.034473,14,56,6
387,112,67.349833,44,-46,22
388,196,142.379774,-132,-52,12
389,104,82.993976,-80,2,-22
390,162,113.296072,-106,-32,-24
391,424,278.467233,-182,208,-34
392,248,156.128152,126,-84,38
393,278,182.877008,-38,80,160
394,302,196.458647,-56,72,-174
395,174,103.749699,62,-74,-38
396,392,271.720445,46,250,-96
397,266,158.354034,-118,64,-84
398,400,289.841336,-248,-150,-2
399,258,160.661134,48,-132,78
400,138,97.713868,-86,-46,-6
401,284,165.384401,98,108,78
402,184,142.351677,134,2,48
403,434,285.299842,230,164,-40
404,536,320.636866,-116,-234,186
405,230,142.562267,-64,118,-48
406,84,58.446557,2,-46,-36
407,160,105.337553,12,-74,-74
408,280,189.462397,156,-106,-18
409,168,110.887330,-46,24,-98
410,126,98.407317,-18,-12,-96
411,104,69.685006,6,-46,52
412,210,124.787820,-94,-56,-60
413,200,141.873183,60,-128,-12
414,80,47.413078,-30,-32,-18
415,188,114.017543,-90,42,56
416,172,105.413472,82,-58,-32
417,366,223.955353,178,-114,74
418,150,100.816665,-92,-26,32
419,200,140.313934,130,-48,-22
420,72,52.153619,-28,0,44
421,250,195.683418,-190,-16,44
422,166,126.190332,-122,28,16
423,562,329.975757,200,-222,140
424,112,70.370448,26,-26,-60
425,86,52.801515,14,36,36
426,358,217.191160,164,70,124
427,308,190.052624,-116,-142,-50
428,398,259.329906,218,132,-48
429,88,57.201399,-24,14,50
430,312,207.749850,34,98,180
431,206,140.299679,8,102,96
432,162,115.256236,-18,36,-108
433,100,68.934752,-64,16,-20
434,198,118.067777,-56,-52,-90
435,158,95.268043,74,36,48
436,238,146.546921,-78,-116,44
437,338,244.450404,118,-6,-214
438,168,119.431989,10,108,-50
439,196,137.608139,-124,-14,58
440,140,86.116201,-26,-68,-46
441,140,96.374270,8,50,-82
442,366,232.869062,68,-200,98
443,310,231.525377,88,-8,-214
444,152,129.614814,-4,128,-20
445,118,81.853528,70,6,42
446,206,160.661134,-2,-152,52
447,198,116.944431,54,-86,-58
448,126,93.829633,-88,6,-32
449,262,193.256306,24,-184,-54
450,342,207.084524,156,118,68
451,106,100.099950,-4,-100,-2
452,310,192.551292,98,56,156
453,382,231.127670,-138,170,74
454,284,204.763278,-56,34,-194
455,352,238.042013,58,218,76
456,170,113.437207,-12,68,90
457,130,95.770559,-46,84,0
458,70,46.861498,-4,-32,34
459,340,198.272540,104,136,100
460,466,294.271983,-186,-60,220
461,578,337.123123,-164,-230,184
462,176,118.220134,90,76,-10
463,218,152.354849,138,-18,62
464,366,245.120379,-136,-28,-202
465,140,81.437092,40,-54,46
466,378,230.295462,-126,-74,178
467,116,106.320271,-106,2,8
468,264,164.268074,38,-112,114
469,152,104.613575,8,88,-56
470,276,196.712989,50,40,186
471,332,233.632190,-100,22,210
472,280,165.481117,122,82,-76
473,522,305.659942,214,144,164
474,378,270.148108,-60,-256,-62
475,168,117.609523,-88,-78,-2
476,340,217.568380,98,-186,-56
477,256,154.012986,-104,102,50
478,450,305.031146,-192,236,22
479,244,170.011764,152,-74,18
480,330,247.766019,238,-30,-62
481,110,73.674962,42,-60,8
482,156,110.453610,-90,64,2
483,130,87.704048,-10,74,-46
484,218,128.887548,50,-84,84
485,566,378.993404,220,40,-306
486,80,53.591044,30,6,-44
487,236,164.851448,-34,154,48
488,308,196.265127,-92,-50,-166
489,306,191.927069,-160,56,-90
490,426,273.795544,76,238,-112
491,260,159.974998,54,-130,-76
492,222,138.636215,68,-114,40
493,120,85.041167,0,-56,64
494,288,167.427596,112,-88,88
495,68,58.446557,6,4,-58
496,92,55.641711,22,-26,44
497,418,294.271983,256,-144,-18
498,164,125.538839,120,8,36
499,212,152.367976,-76,132,-4
500,194,119.281180,-36,-64,94
501,232,153.179633,118,-18,-96
502,40,26.981475,-20,-2,18
503,110,66.241981,52,-28,30
504,408,244.703903,-112,190,106
505,172,99.719607,60,50,-62
506,212,140.769315,122,66,-24
507,124,76.419893,-20,48,56
508,382,269.896276,-126,238,18
509,88,58.719673,-6,-36,-46
510,438,265.171643,94,206,-138
511,104,80.249611,-78,16,-10
512,106,77.433843,-74,18,-14
513,266,174.459164,-50,60,-156
514,108,69.108610,-58,16,34
515,258,149.706379,-94,90,74
516,172,136.058811,-132,8,32
517,176,151.657509,150,-22,4
518,148,136.528385,0,-136,-12
519,248,157.683227,32,92,-124
520,182,108.977062,-84,52,-46
521,222,166.817265,64,-4,154
522,178,106.677083,-72,70,36
523,232,152.184099,118,-20,94
524,454,262.503333,150,142,-162
525,344,240.516112,202,12,130
526,220,143.303873,36,58,126
527,212,141.364776,-72,-20,-120
528,166,122.719192,-50,-4,-112
529,112,84.332675,-80,26,-6
530,350,240.241545,-196,-16,-138
531,242,161.009317,-132,-20,-90
532,130,96.395021,-34,-90,-6
533,274,163.425824,-62,-120,-92
534,194,139.785550,-126,-8,-60
535,234,158.252962,-142,28,-64
536,198,190.105234,-190,6,-2
537,214,155.241747,30,36,-148
538,114,100.498756,6,8,100
539,298,215.601484,-20,200,-78
540,138,88.385519,-20,-44,74
541,252,164.414111,-22,-122,-108
542,330,192.426609,128,90,112
543,406,286.139826,224,178,4
544,150,90.796476,-36,72,42
545,268,176.567268,-46,64,158
546,162,95.728784,38,66,58
547,196,129.830659,-116,30,50
548,188,115.169440,-84,32,72
549,246,199.569537,196,16,34
550,88,62.801274,54,-32,2
551,160,98.142753,-44,80,36
552,176,114.437756,-24,-98,-54
553,524,338.786068,60,-274,190
554,194,119.783137,-34,-66,-94
555,390,245.511711,136,-196,58
556,246,152.957510,-78,-124,44
557,232,142.520174,-92,-102,-38
558,306,187.797764,148,-58,100
559,12,10.198039,10,-2,0
560,268,166.901168,84,-136,-48
561,158,109.416635,-102,-28,-28
562,274,194.000000,0,-144,130
563,304,179.933321,74,-100,130
564,48,30.331502,20,-22,-6
565,262,185.332134,174,-54,34
566,226,130.491379,76,74,-76
567,260,167.188516,-140,84,-36
568,60,36.769553,-24,-10,26
569,122,73.620649,34,30,-58
570,86,68.029405,-66,-4,-16
571,400,274.474042,-82,-254,-64
572,246,169.481562,58,156,32
573,22,13.114877,-10,6,6
574,450,281.147648,82,-232,136
575,86,54.000000,28,14,-44
576,168,112.392171,10,84,74
577,292,186.440339,-150,-38,104
578,222,143.122325,48,-48,-126
579,288,182.581489,138,36,-114
580,176,136.352484,-32,-12,-132
581,388,280.556590,258,108,-22
582,120,79.649231,54,-8,58
583,252,158.543369,36,-124,92
584,350,215.118572,-96,-176,78
585,408,262.967679,-228,112,-68
586,120,102.878569,102,12,-6
587,306,236.347202,32,-230,-44
588,92,62.353829,44,-44,-4
589,360,212.018867,-86,140,134
590,382,222.737514,126,150,106
591,178,140.071410,136,10,32
592,120,80.845532,-72,-34,-14
593,330,203.283054,158,58,114
594,186,109.306907,-74,66,46
595,202,133.191591,-54,30,-118
596,192,137.637204,-112,-80,0
597,446,298.670387,-42,-148,256
598,168,118.793939,-28,28,112
599,302,234.767971,-14,226,62
600,178,106.226174,-60,40,78
601,356,239.549577,82,-218,56
602,180,125.666225,100,4,76
603,402,252.926867,172,52,-178
604,238,157.416645,22,86,-130
605,186,130.522029,-70,110,6
606,120,75.259551,52,-52,-16
607,276,163.878003,90,120,66
608,178,115.982757,58,98,22
609,104,63.686733,-20,-34,50
610,516,306.228673,-168,224,124
611,214,144.235918,38,-132,-44
612,130,94.170059,-88,-32,-10
613,198,122.458156,34,-96,-68
614,430,252.958495,-180,112,138
615,276,177.471124,30,136,-110
616,278,173.908022,120,38,120
617,200,133.536512,110,-16,74
618,324,219.763509,160,14,150
619,150,93.316665,-22,-68,-60
620,316,222.836263,4,-134,178
621,182,109.635761,58,40,84
622,98,71.246053,14,-16,68
623,222,129.290371,-62,86,-74
624,194,137.244308,-52,-126,16
625,622,396.963474,-314,78,-230
626,80,65.053824,-6,10,-64
627,256,199.298771,-40,-194,22
628,104,77.356318,28,4,-72
629,388,256.234268,108,226,-54
630,184,120.896650,-106,26,52
631,304,185.623274,-150,84,-70
632,262,184.661853,170,68,-24
633,328,207.942300,-160,126,42
634,220,152.236658,18,-136,66
635,86,68.029405,-4,66,-16
636,306,195.335609,38,114,154
637,454,286.628680,234,-150,70
638,488,310.612299,-76,152,260
639,88,62.481997,0,-40,48
640,138,91.235958,32,24,-82
641,450,288.561952,-210,-192,-48
642,126,89.911067,36,-8,-82
643,118,114.035082,-2,-114,-2
644,96,82.704293,-4,82,10
645,356,242.734423,-214,-110,-32
646,254,159.009434,-38,92,-124
647,328,221.250989,-18,172,-138
648,310,214.485431,192,-92,26
649,236,141.506184,52,106,-78
650,416,280.214204,-60,-102,-254
651,152,99.759711,12,-72,68
652,472,286.984320,190,-84,198
653,190,115.741090,-66,-88,36
654,320,189.166593,74,128,-118
655,130,82.969874,-32,-72,26
656,146,114.978259,24,-10,112
657,236,165.190799,146,-14,76
658,186,139.413055,-134,-34,-18
659,448,285.418990,-60,158,230
660,316,192.353841,154,-72,90
661,258,150.585524,104,-76,-78
662,144,100.518655,-28,-94,-22
663,132,91.956511,2,64,-66
664,84,52.383203,28,14,-42
665,126,74.859869,46,28,-52
666,412,245.829209,172,152,-88
667,164,109.654001,-58,14,-92
668,268,157.607106,112,86,70
669,374,217.301634,-140,106,-128
670,124,108.738218,-4,12,-108
671,170,118.676030,-106,-12,52
672,290,181.912067,-114,-136,40
673,482,289.613536,-226,124,-132
674,160,105.413472,40,94,26
675,182,149.171043,-6,-30,-146
676,302,182.570534,60,-136,106
677,218,128.576825,-60,-94,64
678,326,284.850838,4,-282,-40
679,242,147.254881,-56,68,118
680,196,126.015872,-70,-24,102
681,258,158.354034,-124,48,86
682,414,271.035053,156,218,-40
683,140,97.734334,-56,80,-4
684,196,135.970585,-26,-126,-44
685,358,223.901764,72,-188,98
686,130,83.258633,56,-60,-14
687,344,228.875512,92,-204,-48
688,192,119.230868,94,-32,-66
689,266,205.727976,-8,196,-62
690,436,252.253840,-152,132,-152
691,128,74.458042,-38,-50,40
692,312,238.914211,228,70,-14
693,278,163.107327,110,70,-98
694,218,198.504408,-10,198,-10
695,234,180.964085,-62,-2,-170
696,284,230.928560,224,-4,56
697,308,180.953033,90,-88,130
698,256,157.556339,98,-116,-42
699,228,161.616831,106,-122,0
700,294,206.736547,-88,20,-186
701,316,239.499478,44,-40,232
702,200,137.520908,-56,124,20
703,430,299.979999,88,-62,-280
704,252,228.910463,-4,20,228
705,272,174.011494,90,-38,144
706,224,131.057239,60,-74,-90
707,264,162.111073,90,48,126
708,148,88.453378,68,40,40
709,322,217.742968,166,140,-16
710,172,123.579934,-110,-56,-6
711,260,171.743996,44,154,62
712,324,212.358188,190,70,64
713,246,150.266430,120,74,52
714,278,208.547357,-24,-200,54
715,172,124.225601,-118,-32,-22
716,194,126.126920,-40,-42,112
717,148,87.954534,-44,66,-38
718,322,200.589132,134,46,-142
719,236,147.051012,-122,-46,-68
720,364,248.370691,14,-186,-164
721,86,59.699246,46,38,-2
722,274,213.288537,-38,208,-28
723,348,225.370806,-198,62,88
724,300,187.637949,138,-120,-42
725,130,102.703457,-22,-8,100
726,182,126.506917,-118,28,36
727,210,160.611332,-12,-154,-44
728,122,82.243541,58,6,58
729,230,165.323924,136,0,-94
730,198,137.419067,92,-4,102
731,194,129.321305,-12,-88,-94
732,124,87.498571,-82,-16,26
733,228,161.616831,-130,96,2
734,214,161.802349,-38,-20,156
735,334,221.350401,-46,-196,-92
736,154,101.291658,46,88,-20
737,310,184.184690,-124,118,68
738,218,147.851277,40,42,136
739,198,121.934409,66,96,36
740,152,105.565146,58,-6,88
741,244,160.324671,94,22,-128
742,276,187.637949,-30,168,78
743,200,131.909060,-110,-20,70
744,302,186.107496,54,102,-146
745,136,83.666003,22,60,54
746,276,161.443489,88,76,112
747,404,265.721659,-104,64,-236
748,426,246.649549,154,-128,-144
749,220,143.275958,-92,-20,-108
750,164,114.891253,-100,56,8
751,148,112.214081,-12,-108,-28
752,148,107.703296,56,0,-92
753,66,49.678969,-48,-8,-10
754,516,299.573029,-176,-192,-148
755,272,196.102014,186,-34,-52
756,90,66.241981,-32,0,58
757,240,151.499175,86,-34,120
758,216,156.460858,132,84,0
759,288,193.762742,-170,-88,30
760,206,179.298634,-8,178,-20
761,280,194.257561,6,146,-128
762,180,113.877127,78,-22,-80
763,208,143.192179,-122,74,-12
764,154,110.000000,-88,0,-66
765,256,157.480157,-92,120,44
766,264,204.841402,198,-50,16
767,274,158.303506,90,-96,88
768,144,114.402797,12,-20,-112
769,166,123.628476,42,116,-8
770,316,227.385136,26,-78,-212
771,130,106.752049,2,-24,104
772,214,163.278902,158,-20,-36
773,206,149.519230,-140,16,50
774,140,82.897527,-34,46,60
775,334,237.629964,224,-66,44
776,280,175.977271,-98,-140,-42
777,416,267.970148,56,-224,-136
778,152,127.530389,-18,126,-8
779,388,229.067676,138,158,92
780,256,151.551971,100,-58,-98
781,328,208.940183,56,178,94
782,234,147.363496,-30,104,-100
783,150,110.072703,-104,-34,-12
784,232,147.756557,66,40,126
785,312,180.820353,106,-114,-92
786,234,159.612030,-136,-82,16
787,376,263.818119,-20,124,232
788,318,187.285878,76,-124,-118
789,274,189.325117,74,-28,172
790,402,338.165640,6,332,64
791,102,75.498344,-70,-28,-4
792,148,100.159872,28,-92,-28
793,298,193.752419,-66,-60,-172
794,232,140.142784,68,110,-54
795,350,230.937221,-204,-96,-50
796,212,145.931491,76,12,-124
797,138,113.929803,6,20,112
798,332,204.019607,-58,118,-156
799,232,134.907376,68,-74,-90
800,522,353.604299,-322,-126,-74
801,144,95.624265,-78,-12,-54
802,166,104.861814,84,-24,-58
803,494,295.059316,140,128,226
804,80,52.839379,-40,-6,-34
805,234,184.705170,176,-2,56
806,122,80.024996,-52,60,10
807,120,86.023253,50,-70,0
808,58,34.928498,12,-26,-20
809,364,235.796522,148,180,-36
810,258,155.756220,-122,60,-76
811,280,184.889156,102,152,26
812,388,286.468148,-8,-120,-260
813,98,75.921012,24,2,-72
814,282,240.624188,-238,-10,-34
815,242,158.025314,26,-130,86
816,182,116.944431,94,-66,22
817,440,289.385556,244,-48,-148
818,126,79.724526,-16,50,-60
819,68,49.071377,-46,6,16
820,144,101.862653,22,26,96
821,154,110.363037,100,-8,46
822,274,188.669022,150,10,-114
823,304,185.364506,150,76,-78
824,256,155.769060,98,-46,112
825,352,234.691287,34,200,118
826,78,52.497619,38,-4,36
827,324,214.792924,194,-60,70
828,220,139.312598,-120,48,52
829,298,187.285878,106,44,-148
830,200,152.604063,22,30,148
831,56,39.089641,-6,-14,-36
832,392,229.556093,-116,-162,-114
833,208,140.939703,108,-10,90
834,394,248.989960,70,-210,-114
835,300,204.489609,76,38,-186
836,74,43.588989,-18,26,-30
837,172,147.214130,-10,146,16
838,260,153.310143,72,-112,-76
839,82,72.360210,72,-6,4
840,526,314.966665,118,172,-236
841,290,182.964477,154,52,-84
842,198,118.574871,-62,90,46
843,300,205.543183,-62,-48,-190
844,242,179.922205,48,172,22
845,244,228.280529,8,8,-228
846,162,108.866891,22,-42,-98
