walk,sec0,sec1,sec2,sec3,sec4,sec5,sec6,sec7,sec8,sec9,sec10,sec11,sec12,sec13,sec14,sec15
47,0,0,1,0,0,0,0,1,17,0,63,1,0,0,0,1
48,1,0,0,31,0,15,0,31,0,1,0,0,0,0,0,0
49,0,3,10,18,0,18,1,21,0,0,0,0,0,0,0,0
50,0,1,0,0,0,3,0,1,8,18,0,7,0,32,0,0
51,0,3,0,0,28,2,0,0,0,2,0,0,10,36,0,0
52,0,2,0,0,32,4,44,0,1,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,5,64,1,0,1,6
54,0,0,50,0,1,0,0,0,0,0,9,0,16,0,12,0
55,0,0,0,0,0,4,84,0,0,0,0,0,0,0,4,0
56,0,0,0,0,0,0,0,0,0,0,25,0,0,0,57,2
57,1,0,0,0,0,0,6,0,1,0,27,2,0,0,32,2
58,0,0,0,0,0,0,42,0,0,0,0,0,0,0,43,0
59,0,0,0,0,0,0,1,0,50,0,2,0,8,0,19,0
60,0,0,39,40,0,0,1,0,0,0,0,1,0,0,0,0
61,27,12,22,0,1,0,0,0,5,0,13,0,0,0,0,0
62,6,0,2,9,37,0,25,1,0,0,0,0,0,0,1,0
63,0,18,1,3,2,15,0,0,0,0,0,0,4,32,0,0
64,0,44,0,38,0,0,0,0,0,1,0,0,0,0,0,0
65,0,0,0,0,71,1,0,0,0,0,0,0,22,0,0,0
66,0,1,19,2,0,4,41,11,0,0,0,0,0,0,0,1
67,0,1,0,0,6,3,1,0,0,0,0,0,27,41,0,0
68,11,1,0,0,0,0,0,0,22,0,44,0,5,0,0,0
69,0,0,10,0,0,0,19,0,0,0,55,1,0,0,0,0
70,0,1,34,0,1,1,36,0,0,0,3,0,0,0,1,1
71,60,7,1,2,0,0,0,0,13,0,0,0,0,0,0,0
72,0,0,0,0,21,16,0,0,0,0,0,0,23,8,0,0
73,0,0,0,0,0,0,0,0,55,4,1,9,9,1,0,0
74,4,1,1,1,10,2,1,3,2,50,1,0,0,0,0,0
75,0,0,0,0,1,0,0,7,0,0,0,0,2,23,1,47
76,72,1,4,0,0,0,0,0,5,0,5,0,0,0,0,0
77,0,0,0,0,0,0,0,0,1,0,0,0,27,12,0,52
78,1,0,0,0,0,0,1,0,0,0,0,0,22,19,29,4
79,0,0,0,0,1,0,70,1,0,0,0,0,0,0,5,5
80,0,0,3,5,0,0,2,2,0,0,0,3,0,0,46,11
81,59,0,0,0,27,3,0,1,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,26,0,34,1,3,0,24
83,0,0,1,6,0,0,43,23,0,0,0,0,3,0,5,0
84,3,13,21,5,2,0,7,0,8,5,2,0,2,0,0,0
85,1,0,1,0,2,0,4,0,20,17,0,0,11,11,2,0
86,0,0,5,1,0,0,0,2,0,0,7,0,21,0,45,0
87,52,30,2,0,0,0,0,0,2,0,3,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,18,25,0,0,9,20
89,0,0,2,1,6,0,5,0,3,13,1,4,35,14,0,0
90,0,0,0,0,0,0,29,61,0,0,0,1,0,0,0,1
91,12,41,1,0,3,0,1,1,3,0,7,0,6,0,1,0
92,16,12,2,10,7,4,1,13,0,0,0,0,0,0,0,0
93,3,0,51,24,1,0,0,0,7,0,0,0,0,0,0,0
94,0,1,0,0,4,7,55,8,0,0,0,0,0,1,0,0
95,0,0,0,0,0,0,1,0,0,0,1,22,0,2,4,43
96,0,0,0,0,0,6,12,69,0,0,0,0,0,0,0,1
97,0,0,40,0,0,0,7,0,0,0,16,0,0,0,6,0
98,0,0,0,0,0,4,3,48,1,0,0,0,1,1,23,2
99,0,0,0,0,0,0,0,0,0,56,2,24,0,0,0,0
100,3,0,20,0,29,0,24,0,0,0,0,0,0,0,0,0
101,0,0,10,8,4,1,53,4,0,0,0,0,0,0,0,0
102,7,0,4,0,0,0,0,0,5,45,13,0,2,3,0,0
103,0,0,0,0,0,0,2,0,5,6,62,8,0,0,0,0
104,1,0,57,1,0,0,16,0,0,0,0,0,0,0,0,0
105,0,0,19,47,0,0,0,1,0,0,9,1,0,0,5,0
106,0,0,81,0,5,1,4,1,0,0,0,0,0,0,0,0
107,0,3,0,0,14,17,29,11,0,0,0,0,0,1,0,0
108,8,1,4,2,45,9,7,0,0,0,1,0,0,0,0,0
109,2,7,27,37,0,0,0,0,0,0,2,1,0,0,0,0
110,26,11,0,0,1,0,0,0,19,20,0,0,1,2,0,0
111,0,0,0,0,21,1,9,3,0,0,0,0,48,0,0,0
112,0,0,0,0,15,1,50,1,0,0,0,3,1,2,3,0
113,4,4,0,0,0,80,0,0,0,1,0,0,0,0,0,0
114,5,67,0,0,0,8,0,0,0,0,0,0,0,1,0,0
115,0,0,4,0,0,0,0,0,0,0,91,0,0,0,1,0
116,26,28,0,0,0,0,0,0,3,23,0,0,2,0,0,0
117,0,0,0,0,0,0,0,1,0,0,0,0,0,54,1,31
118,1,8,0,7,0,0,0,1,7,6,1,30,12,1,0,2
119,15,13,0,0,29,9,0,0,4,0,0,0,7,1,0,0
120,11,5,0,0,2,6,0,0,0,8,0,0,4,35,0,0
121,0,7,0,7,0,3,0,7,0,2,0,0,0,9,0,38
122,0,0,0,0,0,1,0,0,4,81,0,0,0,7,0,0
123,0,0,0,0,33,4,5,0,3,0,0,0,18,0,6,0
124,9,19,2,0,4,11,10,1,3,6,1,0,1,0,0,0
125,17,0,2,23,0,0,1,0,23,0,4,2,0,0,0,0
126,0,3,0,1,0,0,31,39,1,1,2,0,0,0,0,6
127,0,22,0,1,0,14,0,2,4,3,0,1,0,5,3,15
128,43,1,12,0,21,0,1,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,4,0,20,0,6,0,4,0,34
130,0,0,0,0,11,22,18,25,0,0,0,0,0,0,0,0
131,0,0,0,0,12,0,1,0,14,4,13,0,11,0,5,0
132,0,1,0,0,0,8,1,2,0,2,0,0,3,47,0,2
133,12,5,33,19,0,0,0,0,0,6,0,1,0,0,0,0
134,0,0,0,0,28,8,1,0,0,0,0,0,39,14,0,0
135,0,1,0,0,0,0,0,0,14,14,19,0,6,21,0,0
136,0,0,0,0,0,1,0,0,0,0,0,0,43,34,0,0
137,13,43,0,16,4,1,0,0,0,0,0,0,0,0,0,0
138,0,1,1,1,1,45,0,11,0,0,3,7,0,3,0,3
139,7,1,2,0,11,0,1,0,14,1,6,5,2,0,7,3
140,13,0,21,1,7,29,0,0,0,0,6,0,0,0,0,0
141,0,0,1,0,23,0,57,6,0,0,0,0,0,0,0,0
142,0,10,1,1,0,0,0,0,31,6,1,14,10,0,0,0
143,6,0,50,0,22,0,7,0,1,0,0,0,1,0,0,0
144,0,0,0,0,0,0,0,0,0,3,10,31,5,0,15,2
145,1,67,4,4,0,4,2,1,0,0,0,0,0,0,0,0
146,0,0,0,1,13,7,3,25,0,0,0,0,9,0,11,0
147,8,35,1,13,0,2,0,0,0,0,1,10,0,1,1,5
148,0,2,0,0,0,1,0,0,2,30,2,8,2,26,1,1
149,0,25,0,0,0,0,0,0,1,51,0,0,2,8,0,0
150,0,0,0,0,0,0,0,0,0,0,87,4,0,0,0,0
151,6,0,0,0,6,0,0,0,37,1,0,0,26,0,0,0
152,4,7,34,7,0,0,0,0,1,0,13,1,0,0,2,0
153,29,6,0,16,5,16,0,6,0,0,0,0,0,0,0,0
154,0,0,0,0,3,0,0,0,2,4,0,0,35,27,0,0
155,0,0,0,0,0,0,0,0,0,4,0,38,0,5,1,32
156,0,0,0,0,0,1,0,0,0,0,0,0,78,1,7,0
157,0,0,0,0,0,1,0,0,0,0,0,0,0,93,0,0
158,53,0,0,0,31,0,0,0,10,0,0,0,0,0,0,0
159,0,1,0,0,0,1,0,0,5,7,0,0,77,0,0,0
160,0,0,23,6,0,0,3,0,1,0,6,42,0,0,0,0
161,0,0,4,8,1,6,0,62,0,1,0,1,0,0,0,1
162,1,0,0,0,4,0,0,0,63,0,1,0,11,0,2,0
163,0,0,0,0,0,1,19,0,0,0,0,0,35,0,26,0
164,39,0,27,1,3,1,6,1,1,0,0,0,0,0,0,0
165,5,0,1,0,38,0,42,0,0,0,1,0,0,0,0,0
166,0,0,0,1,0,0,6,35,0,1,0,2,0,0,5,22
167,1,0,0,0,0,0,0,0,3,4,5,12,7,23,1,5
168,1,0,1,0,0,0,0,0,10,2,36,25,1,0,5,0
169,0,0,0,0,0,0,0,1,16,0,3,2,37,4,0,9
170,0,6,0,0,2,31,0,0,0,0,0,0,0,29,0,0
171,0,0,0,0,1,2,44,0,0,0,0,0,28,0,4,0
172,0,0,0,0,16,0,27,0,0,0,3,0,1,0,21,0
173,13,0,20,10,0,3,1,0,0,2,1,26,0,0,1,0
174,0,0,0,0,34,11,10,0,2,0,0,0,6,1,4,0
175,4,0,30,6,10,0,3,5,0,2,0,5,0,0,0,2
176,36,20,0,0,1,0,0,0,9,0,0,0,3,0,0,0
177,57,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0
178,3,1,0,2,0,0,0,0,0,0,62,0,0,0,17,1
179,0,0,58,0,3,3,15,1,0,0,0,0,0,0,0,0
180,0,0,0,1,0,0,37,7,0,0,0,0,1,0,43,0
181,0,0,0,0,1,0,17,10,1,0,4,0,8,2,25,3
182,0,0,0,1,28,0,12,0,1,0,1,4,20,1,3,0
183,0,0,0,0,0,5,0,55,0,0,0,0,0,9,3,7
184,0,0,0,0,0,13,0,0,0,6,0,0,1,59,2,0
185,2,19,0,66,0,0,0,0,0,0,0,1,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,5,0,4,0,18,65
187,3,0,9,0,18,0,6,0,1,0,1,0,0,0,34,0
188,0,0,0,3,1,1,0,0,0,2,0,67,0,0,0,11
189,0,0,0,30,0,0,1,31,0,0,1,0,0,5,2,14
190,0,0,1,58,9,3,2,8,0,0,0,0,1,0,0,0
191,0,0,0,0,0,0,0,0,1,23,6,44,3,2,1,2
192,0,0,38,36,0,0,0,1,0,0,0,0,0,0,0,0
193,3,4,2,0,0,0,0,0,66,2,1,3,0,0,4,1
194,67,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
195,0,0,17,2,0,0,0,0,12,0,37,0,0,0,7,0
196,0,48,0,0,0,13,0,3,0,12,0,0,0,1,0,0
197,0,21,0,0,0,16,0,14,0,12,0,4,3,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,97
199,0,0,9,0,0,0,31,0,0,0,0,0,0,1,30,3
200,0,0,0,0,0,0,0,0,0,0,14,22,0,0,4,41
201,0,0,4,0,0,1,67,9,0,0,0,0,0,1,1,1
202,5,1,0,3,0,0,0,18,10,14,2,4,0,4,0,6
203,17,5,9,0,1,0,0,0,31,0,10,0,0,0,0,1
204,0,0,2,17,0,0,16,0,0,0,4,3,0,0,26,9
205,0,5,0,1,0,0,0,0,1,0,0,42,0,0,0,32
206,0,2,2,41,4,10,0,1,0,0,9,6,0,1,0,1
207,0,0,75,0,0,0,0,0,0,0,7,3,0,0,1,0
208,0,0,7,0,0,0,0,1,0,0,5,6,0,0,32,15
209,0,0,57,0,0,0,23,2,0,0,1,0,0,0,1,0
210,0,0,36,25,0,0,0,0,0,0,5,8,0,0,0,0
211,0,0,0,0,0,0,0,2,0,0,49,9,0,0,26,0
212,0,0,0,0,0,0,0,2,1,0,0,0,27,53,1,4
213,36,10,0,0,0,0,0,0,1,0,0,0,25,6,0,0
214,3,1,3,4,35,3,9,1,0,0,0,1,0,1,0,3
215,0,0,0,0,0,0,0,0,0,0,0,9,0,1,5,70
216,0,0,0,0,2,0,0,0,0,0,0,0,77,1,6,1
217,5,2,0,0,25,1,0,0,4,0,0,1,30,13,0,0
218,7,35,17,16,0,1,0,0,0,0,1,0,0,0,0,0
219,0,0,0,1,1,37,1,4,0,1,0,0,8,12,8,3
220,0,0,0,0,0,0,0,0,0,0,0,14,0,0,15,55
221,1,0,10,3,1,7,14,21,0,0,2,0,0,0,9,1
222,0,5,2,15,0,4,0,1,0,30,10,5,0,0,0,0
223,0,0,1,47,0,1,0,0,0,1,25,3,0,3,1,0
224,0,0,1,26,0,1,0,8,0,0,1,40,0,0,0,0
225,1,36,0,0,0,10,0,0,0,2,0,0,0,3,0,21
226,0,0,0,0,0,1,0,0,0,0,0,25,0,1,4,51
227,0,0,0,0,0,0,7,2,0,0,0,0,0,0,87,0
228,0,0,0,6,0,0,0,2,0,0,0,9,0,0,0,73
229,1,0,9,0,0,0,0,0,44,0,19,1,0,0,1,0
230,0,0,0,0,0,0,0,0,47,1,35,3,0,0,2,0
231,0,0,0,0,6,23,0,57,0,0,0,0,0,0,0,0
232,0,1,10,43,0,21,0,7,0,0,0,0,0,0,0,0
233,0,57,2,23,0,0,0,0,0,0,2,0,0,0,1,0
234,0,0,10,0,0,0,1,0,0,1,42,9,0,0,2,6
235,0,0,0,0,0,0,7,0,0,0,0,0,0,0,77,0
236,0,0,20,13,0,0,1,0,0,0,21,20,0,0,1,2
237,0,0,1,0,0,0,0,0,0,3,16,2,4,0,44,10
238,0,18,0,2,0,3,9,20,0,1,0,0,0,0,8,11
239,0,0,0,0,0,0,0,0,0,0,0,0,6,89,0,0
240,2,18,0,30,0,2,0,11,0,10,0,0,0,1,0,0
241,0,1,0,0,0,4,0,0,0,33,0,0,0,45,0,0
242,0,0,0,0,4,2,68,2,0,0,0,0,2,4,0,0
243,0,0,0,0,0,0,0,2,0,0,0,0,0,20,0,64
244,0,0,0,0,3,2,10,4,0,58,0,0,1,2,0,0
245,0,12,0,12,0,0,0,1,0,35,0,20,0,0,0,0
246,0,4,0,5,0,0,27,11,0,0,0,0,0,0,38,0
247,0,0,0,43,0,0,0,0,0,1,1,39,0,0,0,0
248,0,0,4,0,1,0,13,0,2,0,9,1,2,0,40,1
249,1,6,0,20,1,1,0,13,4,7,0,0,5,16,0,0
250,0,0,0,0,0,14,0,14,0,7,0,1,0,37,0,0
251,1,0,0,0,0,0,0,0,34,39,0,0,0,0,2,0
252,0,0,11,10,0,0,4,25,0,2,0,26,0,0,0,0
253,3,0,1,0,10,0,0,0,15,0,9,0,19,0,3,0
254,1,0,1,1,0,1,2,38,0,0,0,0,0,0,0,34
255,0,4,0,10,0,4,11,8,0,1,5,1,0,1,24,2
256,13,36,0,1,0,4,0,6,0,4,0,2,0,1,0,3
257,1,0,4,0,0,0,16,62,0,0,0,0,0,0,1,0
258,0,0,0,37,0,1,0,4,0,0,0,44,0,0,0,0
259,51,0,1,0,14,0,4,0,8,0,0,0,1,0,0,0
260,0,6,0,10,0,58,0,4,0,0,0,1,0,0,0,0
261,0,0,0,0,0,0,24,2,0,0,0,0,1,0,49,0
262,0,0,0,0,0,0,0,0,26,14,41,0,0,0,1,1
263,0,0,1,4,1,1,0,0,0,1,1,1,41,31,0,0
264,0,6,0,1,2,14,9,7,0,0,0,0,0,0,5,31
265,0,0,0,0,1,0,61,7,0,0,0,0,0,0,11,1
266,0,22,0,1,0,28,0,0,0,18,0,0,0,12,0,0
267,12,35,0,0,0,1,0,0,0,18,0,0,1,13,0,0
268,0,0,0,0,0,1,1,64,1,2,0,0,2,7,0,5
269,0,30,0,24,1,4,0,25,0,0,0,0,1,0,0,0
270,17,0,2,0,0,0,0,0,24,15,7,2,3,0,1,0
271,1,1,0,0,5,6,0,0,58,2,0,0,2,0,0,0
272,0,0,0,0,0,21,0,1,0,0,0,0,0,22,1,38
273,0,0,0,0,0,0,0,0,0,0,0,0,1,5,62,13
274,7,7,6,0,6,34,8,0,0,0,0,0,0,0,0,0
275,0,0,0,3,0,0,0,4,9,65,2,0,0,0,1,0
276,0,29,0,3,0,0,0,0,0,32,0,3,0,3,0,0
277,0,0,0,0,0,0,0,0,0,1,0,6,0,42,0,36
278,1,0,6,1,13,2,7,12,1,0,1,2,5,0,12,10
279,0,0,0,0,0,1,1,0,1,2,4,2,29,30,0,1
280,1,28,0,1,10,24,0,0,2,4,0,0,0,0,0,0
281,2,41,0,4,0,19,0,0,0,4,0,0,0,1,0,0
282,0,0,0,0,0,0,0,0,0,0,85,7,0,0,0,0
283,0,0,0,0,0,5,25,12,0,0,0,22,0,0,0,15
284,0,0,0,0,7,1,5,2,0,0,0,0,6,1,51,0
285,9,0,0,0,0,0,0,0,6,54,0,0,3,5,0,0
286,13,0,0,0,53,0,0,0,0,0,0,0,22,1,0,0
287,0,0,0,0,13,0,22,2,0,0,0,0,0,0,5,40
288,20,13,0,0,20,31,0,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,4,0,5,0,0,13,0,7,1,27,19
290,0,0,0,0,0,0,0,0,0,17,0,1,5,0,40,24
291,0,0,0,4,0,3,3,7,0,0,3,11,7,1,13,15
292,0,0,1,81,0,0,0,0,0,0,0,6,0,0,1,0
293,0,0,1,0,2,0,3,0,17,9,5,0,3,0,35,0
294,17,0,0,0,34,10,0,0,1,0,0,0,3,7,0,1
295,0,0,0,0,1,0,0,0,0,0,0,0,1,43,4,31
296,0,17,0,5,0,0,0,0,2,32,0,17,0,0,0,0
297,0,0,0,0,2,1,0,0,5,39,0,3,21,7,0,0
298,0,24,1,20,0,20,0,0,0,1,1,1,0,0,0,0
299,6,0,0,0,79,5,0,0,0,0,0,0,1,0,0,0
300,4,80,0,2,0,0,0,2,0,0,0,0,0,1,0,0
301,0,7,0,0,0,0,0,0,37,31,4,8,0,0,0,0
302,1,0,0,1,0,1,0,0,3,4,0,1,67,9,0,1
303,0,0,0,0,0,16,0,5,0,1,0,0,17,15,12,1
304,3,7,2,26,1,14,0,0,1,0,1,0,1,1,13,2
305,0,0,31,0,0,1,18,16,0,0,16,0,0,0,0,3
306,0,0,0,5,0,3,0,45,0,0,0,2,0,1,0,24
307,1,0,0,0,1,0,23,0,0,0,0,0,21,0,33,0
308,0,0,5,0,0,0,0,1,0,0,82,0,0,0,0,1
309,0,0,0,4,0,0,0,0,0,34,0,1,10,32,0,3
310,0,0,0,0,0,0,0,0,32,31,1,11,4,0,0,0
311,1,43,10,14,0,2,1,2,0,1,0,0,0,0,0,0
312,0,17,0,47,0,0,0,6,1,5,0,2,4,4,0,0
313,0,0,0,0,0,0,0,0,67,0,13,0,1,1,0,8
314,0,10,6,12,0,15,0,1,6,0,1,14,2,0,0,0
315,4,17,0,0,1,1,0,0,22,16,0,0,0,8,0,0
316,1,0,0,0,1,0,6,0,9,0,14,0,8,0,37,2
317,2,9,17,25,0,0,0,0,0,6,0,13,0,0,0,0
318,0,0,0,11,0,0,3,30,1,3,0,6,0,0,0,15
319,0,57,0,1,0,21,0,7,0,0,0,0,0,0,0,0
320,3,11,0,42,1,0,0,19,2,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,2,0,79,1,2,0,0,0
322,39,0,2,1,0,0,0,0,26,0,0,0,5,1,0,0
323,0,6,0,0,0,0,0,0,0,3,0,1,0,78,0,0
324,0,0,0,0,0,0,0,12,0,1,1,0,0,0,4,70
325,6,27,0,0,3,8,0,0,1,2,2,0,1,24,1,0
326,0,1,0,0,16,2,0,0,0,1,0,0,5,66,0,0
327,0,0,1,0,0,0,22,57,0,0,0,0,0,0,0,2
328,11,0,0,0,8,0,0,0,22,0,12,0,20,0,9,0
329,0,0,0,1,0,0,0,0,1,0,15,0,62,0,8,0
330,0,4,1,3,3,2,1,18,1,1,4,5,2,0,8,14
331,2,0,0,2,44,0,18,2,0,0,0,1,1,0,0,1
332,0,6,0,32,0,3,1,40,0,0,1,0,0,0,0,0
333,0,0,6,0,5,0,57,0,4,1,1,0,2,0,7,0
334,22,43,2,10,0,0,0,0,0,0,1,2,0,0,1,0
335,0,0,42,1,0,0,1,0,0,0,27,15,0,0,0,0
336,2,1,0,0,1,3,0,0,61,0,0,0,11,3,0,0
337,0,0,0,0,0,0,0,90,0,0,0,1,0,0,0,3
338,0,1,1,50,0,0,0,12,0,0,0,8,0,0,0,0
339,0,0,12,3,0,0,0,0,0,0,0,0,46,14,2,0
340,2,2,0,0,14,5,0,0,4,0,0,0,24,7,1,2
341,9,0,8,0,1,1,35,20,0,0,0,0,0,1,0,2
342,1,1,1,0,48,3,0,0,1,0,1,0,20,2,0,0
343,0,0,0,0,32,0,0,0,0,0,0,0,52,0,0,0
344,8,6,0,0,38,13,4,0,0,0,0,0,3,1,0,0
345,2,0,2,1,0,0,0,0,4,0,74,3,0,0,0,0
346,0,1,0,47,0,10,0,11,0,0,0,1,1,0,0,0
347,23,3,7,1,12,1,21,0,1,0,6,0,0,0,4,0
348,0,0,0,0,0,0,0,0,0,73,1,1,0,1,0,8
349,0,0,0,1,0,1,1,2,0,1,13,37,1,0,3,13
350,2,0,3,2,5,40,2,22,0,0,1,0,0,0,1,0
351,0,0,1,20,0,0,0,14,0,0,0,6,0,0,0,44
352,0,0,0,0,0,5,2,12,0,0,0,0,5,15,8,16
353,0,0,0,1,0,0,0,0,86,5,0,0,0,1,0,0
354,0,0,0,2,0,0,0,10,27,7,9,1,4,1,1,1
355,13,8,8,15,6,0,10,0,0,0,8,0,0,0,1,0
356,0,1,1,0,7,0,29,21,0,0,0,0,0,0,9,1
357,0,1,56,0,0,0,0,0,10,0,19,0,0,0,0,0
358,1,3,0,0,5,61,0,3,4,0,0,0,4,0,0,0
359,5,1,0,0,4,2,0,0,16,0,0,0,29,11,0,0
360,0,0,0,1,1,5,1,50,0,0,0,0,0,0,2,25
361,0,0,9,0,0,0,0,0,0,0,61,0,0,0,7,0
362,0,0,0,0,3,41,2,35,0,0,0,0,1,2,0,0
363,0,58,0,9,0,0,0,0,0,10,0,3,0,0,0,0
364,8,0,39,2,0,4,1,0,0,1,11,0,1,4,0,0
365,1,0,0,55,0,1,0,1,1,0,1,20,1,0,0,1
366,0,0,1,0,0,0,0,2,0,0,7,1,0,0,18,55
367,1,4,1,3,0,0,0,0,0,20,0,56,1,1,0,0
368,0,8,0,0,0,0,0,38,0,0,0,0,5,13,0,21
369,0,56,0,1,0,1,0,1,0,10,0,3,0,13,0,0
370,2,1,1,0,0,0,0,0,68,5,1,0,3,0,1,0
371,0,1,0,0,0,10,0,22,1,0,0,0,1,13,0,27
372,0,0,0,11,0,26,8,30,0,0,0,1,1,6,0,0
373,0,0,0,7,0,0,2,0,1,0,0,65,1,1,4,2
374,0,2,1,1,0,0,0,0,0,27,0,39,0,0,0,1
375,0,0,0,0,1,3,70,10,0,0,0,0,0,0,1,1
376,0,2,15,4,0,0,4,0,0,1,1,49,0,0,0,0
377,2,5,25,1,0,12,1,4,2,0,30,0,0,0,0,0
378,0,7,4,12,1,6,0,53,0,0,0,0,0,0,0,0
379,0,0,0,0,3,0,3,0,0,0,0,21,2,0,9,38
380,0,1,0,8,0,0,1,0,0,6,12,30,0,0,10,4
381,0,1,0,0,0,15,0,1,0,0,0,0,1,61,0,0
382,0,0,0,13,0,0,0,82,0,0,0,0,0,0,0,0
383,3,65,0,2,0,0,0,0,14,1,0,0,0,0,0,0
384,0,0,0,0,0,0,1,18,0,0,1,3,4,1,32,18
385,14,12,12,4,0,40,0,0,0,0,0,0,0,0,0,0
386,1,0,16,0,2,1,45,2,0,0,1,0,3,0,5,0
387,33,12,0,1,10,0,0,0,4,2,0,0,5,0,0,1
388,3,0,0,0,56,22,5,0,0,0,0,0,0,0,0,0
389,0,0,0,6,0,0,0,1,0,22,1,19,0,24,1,11
390,7,2,13,14,0,1,4,7,14,2,0,0,0,0,0,0
391,14,35,31,1,0,0,0,0,0,0,1,0,0,0,0,0
392,0,0,0,0,18,14,0,0,0,1,0,0,26,11,0,0
393,2,8,3,15,0,0,0,0,13,0,2,20,0,0,0,13
394,0,0,0,0,1,0,49,1,0,0,2,0,1,1,18,0
395,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,6
396,0,0,1,0,12,43,0,1,0,0,0,0,0,20,0,0
397,0,0,0,0,11,8,0,0,0,0,0,0,0,39,0,20
398,4,0,8,14,0,0,0,0,8,8,2,25,1,0,0,0
399,2,11,0,0,2,7,1,0,3,0,0,0,2,49,0,0
400,0,0,1,1,0,0,0,0,74,9,1,2,0,0,0,0
401,0,54,0,2,0,0,0,1,0,25,0,2,0,0,0,1
402,0,0,0,0,0,0,0,47,0,0,0,0,0,8,1,29
403,0,0,0,0,0,0,0,0,4,0,0,0,73,3,7,0
404,0,0,0,3,2,6,15,10,3,1,5,2,1,6,3,2
405,1,6,0,1,1,4,1,44,0,1,0,0,0,1,0,10
406,14,0,0,0,4,1,1,1,53,0,0,0,1,0,0,0
