walk,sec0,sec1,sec2,sec3,sec4,sec5,sec6,sec7
136,0,0,1,1,6096,2477,920,218
137,1235,8535,147,15,0,0,0,0
138,0,0,2837,6583,1,0,56,297
139,20,1055,1,1881,58,1906,0,4750
140,281,19,1671,174,220,1793,2120,3353
141,2950,188,14,65,3972,2024,293,131
142,2,9620,10,98,2,10,13,212
143,2411,5,6537,508,82,95,23,172
144,64,1454,251,973,23,7056,0,0
145,2234,6906,0,1,665,1,77,1
146,0,3,76,7642,0,1,45,2130
147,902,1259,4668,2923,0,2,0,2
148,1,123,0,1180,1529,2119,1502,3046
149,0,436,5,15,7395,2043,0,4
150,80,27,2,0,1458,549,2826,4751
151,76,0,6107,1,249,12,3052,253
152,313,21,2569,2624,999,301,654,1992
153,96,16,143,622,54,56,5966,2672
154,1,5624,7,8,47,3952,5,103
155,0,1657,331,7927,0,0,0,0
156,511,428,1,0,136,6437,6,2308
157,6472,2000,1238,23,25,1,60,1
158,37,8582,32,1288,1,0,3,1
159,0,2,568,21,919,2025,5204,967
160,1397,0,1686,204,1709,9,4651,83
161,7,3373,23,54,1772,3047,258,1124
162,376,0,5516,3733,139,13,5,1
163,5,0,908,1802,1,0,42,7119
164,102,2,536,117,3057,2,5798,57
165,353,711,2337,6261,5,1,18,1
166,3,35,801,90,164,8639,96,27
167,139,5934,0,7,2,3379,13,292
168,2183,585,157,22,5344,1551,18,4
169,299,1667,7147,633,18,5,0,1
170,31,273,2,1588,169,3166,0,4482
171,1,0,9945,24,0,0,0,11
172,3629,0,12,5,2924,3270,3,5
173,0,0,0,2,211,3044,2051,4409
174,1,2,1,4787,11,3,27,5023
175,534,3917,115,1395,823,2497,22,354
176,0,0,1385,2097,0,2,6081,202
177,3,1373,2,3179,203,1479,8,3423
178,4175,99,190,0,1962,3276,0,3
179,391,3251,1192,1275,339,763,1757,644
180,0,1,1556,325,18,4,7890,117
181,1405,3205,2729,1136,366,34,509,290
182,52,5248,0,872,0,1757,0,1866
183,1947,3091,1436,338,467,1899,73,190
184,3,0,6051,171,23,98,2003,1397
185,7,121,12,5326,4,0,54,4289
186,86,110,472,63,38,1891,6074,1070
187,318,1227,149,1025,160,1037,742,5092
188,1948,511,7139,36,10,16,58,7
189,345,2285,106,2354,663,816,377,2756
190,2421,1427,4742,1032,1,0,9,4
191,0,0,2353,4601,4,588,121,2112
192,0,0,0,0,23,0,7488,2473
193,379,23,2632,49,104,0,6535,38
194,64,3,16,1,7656,1,2163,0
195,757,1499,0,0,6088,1371,61,0
196,446,0,3668,22,2928,225,1506,837
197,7529,922,1160,69,0,21,0,0
198,0,1683,6,174,6037,1997,2,0
199,614,8096,95,245,67,456,160,105
200,6923,1446,249,0,967,160,89,0
201,4,175,551,7489,77,113,278,1105
202,2,4,828,85,1,0,4517,4426
203,273,93,179,1775,120,2,103,7274
204,138,895,21,1482,73,3059,274,3665
205,21,2321,4,4964,0,348,0,2010
206,245,1978,426,1612,28,772,2154,2405
207,0,0,26,16,6385,1192,1973,157
208,4844,146,9,0,4303,163,364,0
209,552,9161,0,24,41,105,4,1
210,256,1612,689,2515,46,322,1584,2449
211,16,14,4244,2172,1110,35,1546,628
212,42,106,2444,423,36,86,6374,259
213,3195,21,6433,0,187,10,0,0
214,884,1096,5149,939,735,674,87,26
215,4568,2188,2427,454,19,19,1,13
216,92,3755,303,5211,0,269,0,109
217,2689,3198,2598,296,214,2,525,27
218,2951,0,5678,41,852,1,340,3
219,1487,4799,2122,1295,3,0,0,0
220,2652,1921,4,0,1721,3383,28,0
221,402,17,1776,4877,270,1176,127,1092
222,648,4,6261,131,176,0,2147,339
223,1,0,91,43,7788,0,1654,278
224,0,297,872,1544,613,236,527,5633
225,1,2,0,54,0,20,2307,7578
226,0,7686,0,1939,2,145,24,53
227,5102,69,1291,119,410,45,2498,214
228,0,27,825,8908,0,0,96,51
229,782,19,1877,0,3211,633,3181,57
230,2502,0,222,0,5774,0,1403,10
231,40,258,68,1119,426,3869,1248,2632
232,2705,9,2377,5,2885,1352,225,120
233,6173,250,0,0,1439,1921,0,0
234,0,0,97,1382,4,1792,1762,4580
235,1,0,5,0,1076,4629,1080,3104
236,2628,345,8,0,5111,1574,120,0
237,9340,490,3,0,102,1,0,0
238,3,7684,103,946,0,442,0,661
239,0,772,1930,4102,206,2231,7,468
240,0,0,1759,1219,0,1,3743,2894
241,39,467,118,1037,516,3641,756,3114
242,0,5,74,1479,247,49,1447,6508
243,27,83,57,12,2061,0,7623,7
244,744,3,9079,74,0,1,1,1
245,0,0,17,0,116,3633,1025,5091
246,5,21,1345,62,226,291,1205,6692
247,87,7555,0,316,2,1656,0,124
248,344,9,6880,1353,113,25,488,456
249,5689,84,3766,49,30,0,189,25
250,465,986,6,2129,97,2490,3,3504
251,202,721,8389,507,0,9,0,48
252,2552,0,1831,1,3078,0,2320,1
253,197,354,728,5506,293,48,183,2464
254,2821,6942,1,146,0,1,1,3
255,930,3847,6,241,243,3265,574,578
256,3383,10,682,1,3559,35,2074,36
257,35,5,6802,8,0,1,2968,16
258,6655,1230,9,0,807,375,636,12
259,0,0,0,292,0,62,15,9567
260,3504,27,2878,3,2477,919,0,5
261,373,7525,259,254,0,728,25,631
262,189,34,1403,2424,314,2744,1633,901
263,1054,3165,578,1273,1751,891,390,389
264,3183,3475,761,1635,462,37,170,39
265,2602,2480,2665,754,164,3,821,97
266,553,680,1931,5976,123,80,251,68
267,134,2816,20,250,168,6272,4,1
268,3265,7,10,16,5230,0,1348,1
269,34,981,232,3386,1,56,6,5122
270,75,231,1,3545,316,563,171,4817
271,17,30,629,2799,1938,282,2396,1515
272,0,0,8004,3,0,9,732,1200
273,15,0,1803,1,0,0,7940,109
274,1416,0,187,22,7759,0,463,1
275,3,16,19,6,1148,6696,72,1843
276,9163,85,203,0,11,28,385,3
277,147,150,275,344,786,360,3699,3817
278,0,0,717,2371,0,0,5028,1744
279,0,855,8,27,22,4548,29,4393
280,2344,0,1785,1,5601,0,109,0
281,13,426,854,1190,1303,1090,4079,633
282,0,89,3996,262,143,109,5123,115
283,0,0,105,16,51,0,9767,1
284,229,3581,10,5235,2,267,2,363
285,209,1214,116,3465,65,1472,385,2691
286,741,1615,325,2944,215,360,93,3485
287,1128,1,3081,3,2252,0,2882,398
288,12,504,838,1375,3611,1609,1036,593
289,15,1613,10,913,260,4575,9,2231
290,0,3,177,198,283,1830,1076,5971
291,4780,3587,0,19,1066,361,1,1
292,29,5628,1,633,2038,709,471,275
293,2574,4228,761,306,41,1652,41,40
294,1049,430,3327,4731,100,91,58,15
295,0,0,4,1,109,1084,107,8556
296,7929,10,102,3,261,1482,38,4
297,3446,6116,0,0,267,49,1,0
298,2293,417,2507,509,0,0,3088,933
299,2,173,0,6,1392,8360,0,2
300,71,6606,194,156,0,2105,0,754
301,0,0,0,0,97,1602,1141,6979
302,69,565,50,486,8,540,4693,3341
303,317,398,1129,2036,22,26,20,5848
304,1398,212,3625,1,722,8,3843,0
305,6071,3774,4,47,6,18,2,1
306,227,0,1555,169,157,0,3475,4238
307,2144,658,282,30,5947,335,111,139
308,79,3135,0,0,426,6041,0,68
309,1134,274,3038,4733,46,287,0,91
310,3190,731,1960,3837,0,0,1,4
311,1,0,2885,2930,158,2,3826,17
312,424,7601,0,1505,91,149,1,0
313,0,16,123,249,6,14,121,9368
314,0,6,0,3,1372,2788,2318,3241
315,165,78,3679,5553,14,49,122,199
316,4146,2310,1618,804,0,0,710,3
317,446,2532,2013,508,63,2441,705,880
318,0,182,0,3530,355,691,13,4937
319,2941,1576,44,0,5129,26,1,0
320,4131,1024,1077,7,2384,919,10,100
321,3777,144,2137,105,2179,75,1297,8
322,1,0,768,1457,495,55,3543,3224
323,94,469,366,883,12,68,3519,4251
324,53,2440,560,5548,56,565,0,423
325,80,3184,31,6532,0,0,0,0
326,267,2,4113,38,242,202,4368,479
327,179,294,7393,1144,152,7,723,1
328,57,964,0,3429,1163,1245,174,2519
329,18,1048,13,2821,0,4985,0,888
330,858,1893,917,685,9,4436,252,620
331,1166,0,3580,0,1362,22,2589,969
332,0,132,961,4187,0,1,653,3893
333,1,2334,0,802,0,6162,0,501
334,17,336,6,111,1695,4773,1785,1053
335,714,282,708,3652,7,17,420,3880
336,0,3080,0,596,2067,3516,17,465
337,165,5161,0,194,0,3667,0,516
338,161,688,142,1510,19,885,657,5716
339,4620,150,4309,36,212,2,293,212
340,3711,541,4589,732,1,0,165,45
341,0,1,0,2,1611,5118,794,2198
342,55,6070,10,72,477,3079,1,31
343,741,116,4115,990,1683,0,1789,343
344,0,5459,1051,3234,0,1,12,165
345,2058,428,346,68,4369,1693,527,17
346,20,18,0,0,80,12,9518,229
347,487,4322,497,223,1621,1776,412,197
348,169,2064,2006,2369,0,323,1061,1582
349,238,55,3623,3597,123,72,991,1072
350,32,24,3,143,1239,5494,8,2843
351,2,9187,0,634,0,70,0,0
352,0,139,6522,522,0,0,2629,28
353,599,3710,3766,1251,9,34,248,66
354,96,0,250,0,4069,30,5066,219
355,0,89,1,5,4532,500,170,4575
356,1091,853,1710,1012,1781,1942,963,213
357,1385,615,3983,37,369,0,2926,306
358,84,5788,1066,1790,0,982,63,18
359,173,346,3628,3417,25,2,1171,821
360,2653,0,2014,281,167,0,3958,787
361,98,59,0,133,4987,936,2459,1178
362,7673,47,172,17,1689,146,23,15
363,7703,0,252,42,1602,28,24,214
364,2304,693,1515,207,755,4029,49,162
365,1277,2684,234,2364,164,1030,0,1817
366,0,8,298,925,77,513,2969,4767
367,5635,0,4070,0,97,0,39,0
368,0,5,361,1437,3354,681,1588,2323
369,0,0,9605,47,0,0,239,26
370,6,24,5,14,1994,593,7240,16
371,0,5,9704,23,4,1,152,59
372,46,0,8890,381,34,31,476,6
373,4701,2,904,1585,342,74,1288,904
374,22,3783,0,1364,0,123,0,4557
375,1367,545,31,500,5603,9,1498,169
376,0,3,740,5740,2,86,1645,1631
377,4100,5,119,2,4056,12,1402,104
378,1757,0,3063,4290,5,0,619,146
379,221,37,1,9,1567,6319,334,1399
380,4345,3651,537,343,741,66,97,1
381,0,3406,1,3097,11,2300,22,842
382,5,6,0,4090,6,36,5,5508
383,2437,443,2380,668,128,156,2783,721
384,3,4,0,0,51,97,7756,1988
385,6,43,737,2731,1718,1154,1697,1537
386,54,93,161,2165,1742,1524,190,3686
387,359,3803,1271,1446,347,789,1007,510
388,2648,53,1633,0,4603,73,760,0
389,4507,1807,278,160,2519,23,337,128
390,3627,1646,1762,1890,670,35,2,70
391,5,768,6478,146,7,48,2324,11
392,6,39,5,24,614,9153,53,13
393,214,827,95,79,1757,520,5940,254
394,191,395,4494,3410,443,33,419,368
395,876,2962,1390,4131,0,364,0,81
396,3,1,2335,7503,0,1,0,1
397,928,209,4084,4527,2,25,0,4
398,4660,2,93,0,4609,6,353,0
399,1361,1096,0,2,2693,2407,2209,0
400,1791,0,3556,10,3050,35,1145,20
401,1,0,23,31,0,0,2879,6989
402,1,9,142,1230,0,394,11,7992
403,24,909,0,3813,1,0,1,5143
404,93,637,0,383,3721,4989,0,21
405,2588,562,4908,814,0,0,49,789
406,6878,115,1043,502,1,102,709,465
407,5530,3118,1185,4,19,20,25,6
408,1,3199,9,3,1,6474,43,130
409,553,2627,3957,1715,36,658,0,18
410,4812,2449,767,1368,234,42,7,2
411,2261,440,963,2813,250,963,120,1898
412,2992,0,0,0,2068,0,1784,3014
413,182,2677,158,450,395,4688,215,887
414,3566,6155,115,0,16,53,23,0
415,10,84,3489,21,75,340,4677,1075
416,236,1694,234,0,2411,4486,667,1
417,0,1619,0,55,1491,5524,0,1211
418,16,0,0,0,4615,1101,1629,2398
419,1142,8665,70,0,34,17,4,0
420,584,164,2874,57,92,255,5495,151
421,0,2,142,2,1372,344,6410,1629
422,341,0,873,306,448,0,6369,1218
423,147,0,195,1,823,7505,905,203
424,20,8093,20,4,98,1557,139,0
425,83,152,10,306,1338,3785,1683,2300
426,0,1,4,7,0,1,411,9491
427,4125,21,0,0,5635,3,0,0
428,6,43,2234,7153,0,2,125,234
429,1858,7,174,0,7189,238,346,0
430,0,0,0,1274,0,1250,0,7409
431,74,0,3307,564,58,19,3717,2042
432,30,1396,3814,4478,28,0,15,0
433,138,851,2339,114,1167,4002,803,261
434,8677,91,949,124,1,18,2,12
435,78,54,19,75,3182,403,2733,3138
436,1357,0,1912,1505,3401,243,972,284
437,6176,2635,47,0,590,255,39,7
438,0,0,43,3775,15,631,31,5300
439,1,51,0,2,1583,33,8250,0
440,1899,50,7832,33,10,36,8,28
441,1240,1104,5944,1424,60,36,0,14
442,305,107,0,0,6192,3298,1,1
443,232,6458,363,480,389,396,191,1179
444,284,436,1322,4986,1183,1039,395,69
445,176,100,108,659,159,2715,43,5640
446,19,1147,1,127,222,8235,94,27
447,2354,6727,41,89,332,234,59,0
448,6500,1713,1480,48,2,0,0,0
449,506,3707,17,305,0,2976,4,2252
450,0,5,0,22,0,64,214,9624
451,204,4105,5,302,813,4122,0,213
452,2,6,0,0,13,6251,15,3608
453,764,1,23,0,2937,12,6180,0
454,1491,426,5542,1951,82,7,112,38
455,238,2,310,35,475,0,2182,6610
456,1405,1954,707,415,1764,517,2901,12
457,690,11,181,1,853,13,2824,5170
458,2916,3132,0,130,737,2745,0,147
459,0,48,0,2673,122,758,2,6098
460,5,78,1,83,7351,141,1264,952
461,1,0,3,0,7587,244,1678,298
462,0,3201,34,5240,0,24,45,1237
463,178,0,6,0,1287,2359,1373,4574
464,5495,997,0,0,2475,525,233,0
465,0,3426,62,540,0,3012,368,2336
466,59,62,135,659,8305,247,58,296
467,51,0,316,0,3158,461,5754,7
468,267,2909,37,37,2510,3869,2,85
469,957,343,1876,2090,797,506,718,2164
470,151,767,53,0,142,6672,1,2072
471,75,673,63,1532,354,29,4534,2381
472,257,465,3074,5973,76,6,14,0
473,0,0,11,5843,3,2,37,4066
474,5831,2417,1014,8,87,0,318,0
475,1418,12,0,0,6209,2240,0,16
476,1,1271,0,37,5175,3010,77,202
477,0,0,66,19,102,5,7320,2345
478,23,2,1712,6,2,3,8188,0
479,0,421,0,452,0,7869,7,1089
480,15,8301,2,1148,13,247,0,61
481,49,88,247,40,925,3950,2800,1608
482,1917,0,6116,37,1095,0,570,11
483,288,49,4396,1127,1300,0,2620,2
484,1167,1389,10,0,370,5753,12,1110
485,55,5490,201,3552,0,469,47,1
486,6,91,1272,1059,4,10,4864,2236
487,9,200,2571,1416,1,0,5691,0
488,7581,394,1,14,720,892,73,32
489,3586,0,5986,18,141,0,146,0
490,37,1,38,3258,301,206,811,5195
491,3058,5637,1,31,937,0,57,36
492,907,3842,135,81,255,2965,1015,437
493,0,1212,650,3537,12,4073,78,213
494,1676,311,0,6,3651,3808,21,289
495,1,1125,13,2835,4,755,135,4968
496,5579,284,54,7,2628,731,502,29
497,0,1014,0,171,0,7319,8,1315
498,35,1957,360,810,827,2332,522,2756
499,621,53,4009,0,890,224,3237,658
500,847,417,2182,258,2630,681,1568,993
501,985,5814,1411,415,5,0,1213,0
502,3757,976,1632,122,1432,344,1069,191
503,1,1161,5057,2521,0,537,173,271
504,8,0,332,43,0,0,9121,358
505,1,286,0,5956,59,581,206,2730
506,60,1402,0,1473,224,3631,610,2359
507,0,69,0,138,1643,5566,1610,768
508,0,7,3166,1239,1,16,4559,613
509,1513,1434,572,6238,2,13,0,0
510,102,0,1536,7687,358,1,130,2
511,1011,883,942,0,3250,1563,2103,0
512,454,0,2113,60,4372,0,2651,13
513,291,615,5315,3405,37,47,0,4
514,666,24,1343,1,2421,938,3615,778
515,444,146,1,1,2355,36,6894,0
516,7389,31,1850,1,161,0,406,1
517,598,6494,77,341,287,1829,52,37
518,4993,1058,2527,179,614,195,9,22
519,4,356,664,7871,117,439,202,160
520,583,0,3755,11,1048,53,4224,5
521,668,12,127,116,2693,2949,1561,1440
522,922,988,272,75,38,293,3906,3195
523,0,0,0,21,0,1481,431,7896
524,203,21,659,8771,30,99,115,0
525,22,60,21,1,1998,6084,3,1679
526,41,8,69,1814,400,307,1324,5710
527,5718,0,3542,171,157,38,14,127
528,3511,3279,2540,505,1,1,2,6
529,20,115,2269,636,2385,1113,3048,76
530,6099,35,1433,0,108,1034,883,54
531,6675,67,49,44,1360,375,1046,183
532,5158,2472,144,22,1145,476,144,50
533,8256,588,50,177,194,187,17,355
534,3040,2467,1135,1782,124,364,40,669
535,19,11,2861,0,2600,382,4016,0
536,2308,1,6208,9,0,0,1219,2
537,0,61,701,7491,0,54,1,1576
538,0,16,67,1768,99,633,685,6480
539,261,87,8129,601,1,22,90,516
540,3102,965,1551,135,1826,1339,450,385
541,4088,3336,507,187,310,920,405,60
542,3,444,32,1,12,1560,140,7689
543,0,0,102,8709,86,27,478,432
544,3376,491,6,11,3788,93,1995,33
545,0,62,224,319,9,25,6718,2393
546,2095,0,2074,336,181,0,3325,1789
547,531,23,756,29,5218,32,3034,36
548,0,12,0,24,6238,46,3517,8
549,0,0,0,232,0,2900,189,6579
550,3036,4676,16,7,43,2060,0,0
551,2941,101,4171,179,520,918,702,197
552,4358,4217,2,52,2,881,1,274
553,418,1115,1,0,2314,5924,0,0
554,3177,383,3061,2756,1,20,0,439
555,0,476,0,62,1692,7529,30,36
556,3796,993,70,74,2831,1951,29,0
557,5110,75,104,0,2379,2056,1,11
558,0,0,0,0,55,3033,627,6190
559,467,589,6291,580,90,1,1582,50
560,4576,3886,8,0,1240,84,2,5
561,3007,31,0,0,6761,27,0,1
562,3186,303,26,2,5470,645,36,18
563,0,0,12,2,5814,1740,2144,147
564,0,757,2137,1799,20,472,2839,1560
565,423,7845,73,278,107,1050,26,4
566,1664,211,3348,4525,2,0,86,0
567,2882,4,2148,73,2700,2,1605,147
568,0,1,3497,1274,620,30,2863,1431
569,903,2356,2541,3776,52,23,2,0
570,5043,0,4005,122,4,0,546,0
571,6980,0,25,0,2817,0,0,0
572,17,230,729,6142,0,6,528,2049
573,646,2787,58,4172,105,755,59,1029
574,0,0,1,0,3238,6393,37,45
575,1033,6243,1,2626,0,0,0,0
576,8,5,2364,279,30,1125,1442,4403
577,1,0,0,57,1137,36,7466,1163
578,3527,6046,125,69,0,8,0,20
579,6,1,38,8625,26,2,101,1078
580,2793,967,1237,3887,0,0,0,841
581,68,668,43,8354,114,3,293,347
582,183,150,318,0,1147,2846,1609,3508
583,808,2984,417,231,43,4971,22,335
584,567,3,443,68,7552,23,1140,0
585,1040,0,2542,0,6176,173,0,0
586,930,105,2320,3624,15,526,905,1296
587,1619,2522,0,0,5464,149,2,0
588,950,1028,1837,1986,161,1292,794,1447
589,72,50,0,17,472,76,7089,2103
590,602,1757,29,1626,118,1,0,5644
591,3,100,1,5591,75,480,5,3510
592,6980,0,329,28,1608,85,382,276
593,0,272,25,1885,0,3747,200,3636
594,15,96,3064,367,1,9,5693,439
595,1833,63,2295,5,1905,86,3603,28
596,2259,51,0,122,2621,3116,387,1191
597,56,650,48,406,7368,1086,0,211
598,2107,133,21,2,2337,2,3214,1957
599,69,0,91,951,50,1,6743,1847
600,0,3,0,1,513,6073,1285,2012
601,32,40,0,0,2976,6818,0,0
602,233,1409,449,4621,144,392,0,2310
603,2,0,46,6452,2,1,1092,2280
604,2024,532,5866,346,0,18,688,147
605,0,0,3338,1361,62,6,2134,2793
606,5177,3858,231,5,4,130,214,43
607,0,0,463,52,341,0,4735,4230
608,267,158,2558,2987,234,273,485,2558
609,1072,2935,190,632,590,3284,149,612
610,32,3,351,0,19,1,9347,126
611,4444,4289,223,121,172,247,43,172
612,4988,1,450,0,1888,35,2360,6
613,11,3113,118,0,423,5541,465,140
614,476,14,986,256,863,57,7001,170
615,70,39,330,7041,563,513,224,896
616,198,125,51,0,322,4243,47,4751
617,583,293,1686,56,55,192,1616,5189
618,73,1868,110,1478,0,5242,0,1047
619,952,0,156,0,2454,3459,2790,10
620,2,0,0,0,6879,2408,427,14
621,0,339,0,9,0,5642,0,3825
622,0,0,0,0,3304,4582,50,1854
623,32,6,2390,479,361,9,5178,1266
624,6105,311,1855,647,602,17,3,90
625,2238,81,7646,1,0,0,0,0
626,287,0,2792,0,1353,6,5374,75
627,90,5148,0,143,1449,2642,140,187
628,7,465,214,3773,5,93,728,4537
629,40,155,4,6781,0,1,0,2745
630,0,1,4,2,1599,2797,5307,78
631,3361,504,3965,1114,1,11,80,679
632,382,730,5,7744,14,32,34,883
633,4,54,402,84,144,327,5634,3043
634,0,4133,4,2758,28,2950,0,13
635,255,2574,1910,4937,0,0,4,105
636,539,3,484,0,31,0,2017,6850
637,41,916,0,29,270,8369,58,208
638,0,0,0,0,63,163,7831,1772
639,2127,2530,426,5,3211,1042,188,127
640,3476,2445,0,3884,36,42,0,0
641,6518,2576,66,31,291,35,173,22
642,100,1904,1,0,1650,5281,790,60
643,1518,0,2869,0,3698,0,1678,3
644,0,0,4193,4086,0,0,596,966
645,2490,52,2291,0,2613,62,2190,0
646,1,61,6483,1859,0,14,1224,128
647,5,280,5235,2472,106,1202,9,363
648,63,1004,275,44,451,7644,296,3
649,156,1,1743,2983,1968,410,2382,118
650,6755,1356,1138,406,0,8,41,78
651,1102,1523,43,191,1369,5556,0,9
652,2,80,14,219,3,9471,6,120
653,23,0,408,679,3923,254,3114,1283
654,47,3,3656,4636,10,15,738,656
655,305,536,106,20,5264,3591,1,0
656,232,1023,1,1891,46,5508,5,1093
657,0,54,1,210,0,4015,1,5530
658,2694,2862,19,2,2343,1657,56,6
659,19,0,24,0,1040,0,8504,234
660,1,857,3,51,2,5689,0,3254
661,261,9039,38,17,1,539,1,0
662,394,45,0,12,7550,1884,0,1
663,2496,1524,256,5371,47,1,96,0
664,3178,769,3969,1269,187,242,0,64
665,192,156,499,5432,60,1651,142,1667
666,222,130,177,8878,18,0,188,305
667,3478,3,5767,0,335,249,7,62
668,0,334,5,11,948,6025,26,2474
669,74,21,8946,33,10,123,410,273
670,6488,108,2977,209,3,0,2,0
671,5853,1,0,28,3392,0,487,151
672,7070,563,169,516,1494,0,0,0
673,13,66,7668,297,0,114,0,1789
674,292,4,829,1070,3018,16,3304,1119
675,7294,1421,602,373,6,7,3,0
